Type of alert;Type;Alert number;Alert submitted by;Country of origin;Counterfeit;Risk type;Risk legal provision;Product;Name;Description;Brand;Category;Type / number of model;OECD Portal category;Risk;Compulsory measures;Voluntary measures;Products were found and measures were taken also in;Company recall page;Barcode;Batch number;Company recall code (**);Production dates (**);Packaging description
Serious risk;Consumer;A12/1463/16;United Kingdom;Spain;No;Injuries;There is a possibility of poor adhesion between the panoramic roof glass panel and the vehicle body. This could result in the glass panel separating from the vehicle, causing injury to other road users / pedestrians.;Van;Transit Connect and Tourneo Connect;Van;Ford;Motor vehicles;e1*2001/116*0207*17, e1*2001/116*0207*18, e1*2001/116*0207*19, e1*2007/46*0272*06 ;77000000 - Automotive;;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Germany, Finland, The Netherlands;;;;;Specific vehicles built between 04/10/2013 and 14/07/2014.;
Serious risk;Consumer;A12/0482/19;Germany;Germany;No;Injuries;This could lead to the trailer becoming detached during travel, leading to an accident.;Passenger van / Light commercial vehicle;Sprinter;Passenger van / Light commercial vehicle under Mercedes-Benz recall code: VS3AHBOCK.;Mercedes-Benz;Motor vehicles;"Type-approval numbers: e1*2007/46*0301*, e1*2007/46*0296*; Types: 906 BB 35, 906 BB 50 
";77000000 - Automotive;Trailer couplings may develop cracks when operated under load.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Luxembourg;;;;;The affected vehicles were manufactured between 29 August 2018 and 29 November 2018.;
Serious risk;Consumer;A12/0688/19;Germany;Italy;No;Injuries;As a result the seats could become detached in motion, increasing the risk of an accident.;Passenger car;Giulia, Stelvio;Passenger car under Alfa Romeo recall code: 8239.;Alfa Romeo;Motor vehicles;"Type-approval numbers: e3*2007/46*0382*11, e3*2007/46*0435*08; types: 952, 949 ";77000000 - Automotive;The seat guides may be inadequate and the seats may be wrongly positioned.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Hungary, Luxembourg, Poland, Portugal, Slovenia;;;;;The affected vehicles were manufactured between 14 November 2018 and 7 February 2019.;
Serious risk;Consumer;A12/0822/19;Germany;Japan;No;Injuries;This can cause the brake lights to fail, increasing the risk of an accident.;Passenger car;Impreza, Forester, WRX STI, XV;Passenger car under Subaru recall code: SRT270 (201907 recall code for Germany).;Subaru;Motor vehicles;"Type-approval numbers:
e13* 2007/46*1305*02 -*06,
e1*2001/116*0438*01 -*10,
e1*2007/46*0597*01 -*08;
types SJ, G3, G4


";77000000 - Automotive;The brake light switch may be defective.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, France, Greece, Ireland, Iceland, Luxembourg, Poland, Sweden, Slovenia, Slovakia;;;;;The affected vehicles were manufactured between April 2007 and March 2017. ;
Serious risk;Consumer;A12/0858/19;Germany;United States;No;Injuries;This may lead to over and under-steering which, without prior warning, could lead to an accident. ;Pickup truck;RAM;Pickup truck under RAM recall code: V04.;Dodge;Motor vehicles;Type-approval number: individual approval ;77000000 - Automotive;The ground connection on the battery may be loose, which may result in irregular steering power assistance.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Luxembourg, Sweden;;;;;The affected vehicles were manufactured between 31 October 2017 and 25 October 2018. ;
Serious risk;Consumer;A12/0859/19;Germany;Denmark;No;Injuries;"This could lead to a loss of brake efficiency, increasing the risk of accidents.

 ";Trailer;Several models;Trailer for passenger car.;Variant;Motor vehicles;"Type-approval numbers: e1*2007/46*0578*09, e1*2007/46*0772*06, e1*2007/46*0724*06, e1*2007/46*0717*07, e1*2007/46*1256*02, e1*2007/46*0675*07, e1*2007/46*0699*04, e1*2007/46*1073*03,, commercial models: 1013, 1304, 1315, 1317, 1519, 2020, 2004, 2005, 2006, 2015, 2017, 2018, 20P2, 2517, 2700, 2701, 2705, 2718, 3017, 3018, 3321, 3500, B715, Ocean, e1*2007/46*1092*04, e1*2007/46*0587*05, e1*2007/46*1063*03;

types: 1AMB-O2, 2AMB-3, 2AMB-1, 2AMB-5, 2AMB-6, 2AMB-7, 2AMB-8, 2AMB-4, 2AMB-2, B2AMB, 3AMB, 1AMB-O1, B1AMB;
";77000000 - Automotive;The welding in the drum brake might be defective.;;"Type of economic operator taking notified measure(s): Other
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;;The affected trailers were manufactured between March and April 2018.;
Serious risk;Consumer;A12/00019/20;United Kingdom;United Kingdom;No;Injuries; ;Passenger car;Range Rover, Range Rover Sport ;Passenger car under Land Rover recall code: N306.;Land Rover;Motor vehicles;Type-approval numbers: E11*2007/46*0649, E11*2007/46*0909;77000000 - Automotive;"The routing of the electrical harness within the steering column assembly has insufficient clearance to the metalwork of the steering column, causing the harness to be damaged or pulled out of the connector when the steering column is adjusted.

This can result in impaired steering functionality and failure of the horn and the direction indicators, increasing the risk of an accident.
";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 28/03/2019";France, Greece, Ireland;;;;N306;The affected vehicles were manufactured between 15 and 20 February 2019.;
Serious risk;Consumer;A12/00069/19;Germany;Germany;No;Injuries; ;Passenger car;A-Class, B-Class, CLA, EQC, GLC;Passenger car under Mercedes-Benz recall code 9192105.;Mercedes-Benz;Motor vehicles;Model series: GLC (BR 253), B-class (BR 247), A-class (BR 177), CLA (BR 118) and EQC (BR N293), Type-approval numbers: e1*2007/46*1912*00, e1*2007/46*1829*03-04, e1*2001/116*0480*32, 33, Types: F2CLA, F2A, 204 X;77000000 - Automotive;The four self-locking nuts used to attach the airbag might not have been correctly tightened. As a result, in the event of an accident in which the airbag was deployed, it could become detached from its base plate, failing to provide its restraining effect and increasing the risk of injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, Greece, Croatia, Hungary, Ireland, Iceland, Luxembourg, Poland, Portugal, Sweden, Slovakia;;;;9192105;19 July 2019 to 27 September 2019;
Serious risk;Professional;A12/00065/19;Germany;Germany;No;Fire;Not stated;Bus;Citaro, Intouro, Setra, Tourismo;Bus;Evobus;Motor vehicles;Models: 628 02, 632 07, 633 04, 633 01, 634 01, Type-approval numbers: e1*2007/46*0087, e1*2007/46*0132, e1*2007/46*0014, e1*2007/46*0012, e1*2007/46*0202;77000000 - Automotive;Faulty fitting of the fuel line could give rise to a fire risk. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;07.16M19063A;December 2015 to November 2019;
Serious risk;Consumer;A12/00068/19;Germany;Germany;No;Injuries; ;Passenger car;X3, X5, 7, 3, Z4, 5, 6;Passenger car under BMW recall code 0011370500.;Bmw;Motor vehicles;Type-approval numbers: e1*2007/46*1797, e1*2007/46*1918, e1*2007/46*0276, e1*2007/46*1947, e1*2007/46*2017, e1*2007/46*1949, e1*2007/46*1688, e1*2007/46*1750, e1*2007/46*1791, Types: G3X, G5X, 7L, G3L, G3K, G4Z, G5L, G5K, G6GT;77000000 - Automotive;The press-in force of the counterbalance shaft’s bearing shells may not have met the specifications, which could cause the counterbalance shaft to become loose. As a result, the engine could be damaged and locked in motion, increasing the risk of an accident. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, Hungary, Ireland, Poland, Portugal, Sweden;;;;0011370500;7 May 2018 to 28 September 2019;
Serious risk;Consumer;A12/00070/19;Germany;Germany;No;Fire; ;Passenger car;Q7;Passenger car under Audi recall code: 90N7.;Audi;Motor vehicles;Type-approval number: e1 * 2001/116 * 0350 *, Type: 4L;77000000 - Automotive;Due to the incompatibility of the control software with the heating film used for the front camera on the windscreen, significant overheating may occur when the heating element is controlled after the ignition is switched on or at low temperatures. This may lead to a smouldering and increase the risk of the vehicle catching fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, France, Greece, Croatia, Hungary, Ireland, Poland, Portugal, Sweden, Slovenia, Slovakia;;;;90N7;2019;
Serious risk;Consumer;A12/00067/19;Germany;France;No;Injuries; ;Passenger car;Micra;Passenger car under Nissan recall code PY8B3.;Nissan;Motor vehicles;Type-approval number: e9*2007/46*6454, Type: K14;77000000 - Automotive;Cracks can be developed in the passenger airbag. This will impair it's protective function, increasing the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, Greece, Croatia, Ireland, Iceland, Luxembourg, Poland, Portugal, Romania, Sweden, Slovenia;;;;PY8B3;The affected vehicles were manufactured between 1 October 2016 and 14 November 2017.;
