Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,Diesel,Hybrid,Benzin-Hybrid,Diesel-Hybrid,Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,Elektro (BEV),Allradantrieb,offener Aufbau,gewerblich,ObjectId
2020,Januar,MINIS,CITROEN,C-ZERO,42,,,,,,,,,,,42000.0,,,39000.0,738733
2020,Januar,MINIS,CITROEN,C1,438,,,,,,,,,,,,,,315000.0,738734
2020,Januar,MINIS,FIAT,500,2157,17000.0,7000.0,7000.0,,7000.0,7000.0,,,,,,,,1660000.0,738735
2020,Januar,MINIS,FIAT,PANDA,367,,,,,,,,,,,,31000.0,,137000.0,738736
2020,Januar,MINIS,FORD,KA,6,,,,,,,,,,,,,,3000.0,738737
2020,Januar,MINIS,HYUNDAI,I 10,1603,,,,,,,,,,,,,,1330000.0,738738
2020,Januar,MINIS,KIA,PICANTO,764,,,,,,,,,,,,,,407000.0,738739
2020,Januar,MINIS,PEUGEOT,108,320,,,,,,,,,,,,,,105000.0,738740
2020,Januar,MINIS,PEUGEOT,ION,11,,,,,,,,,,,11000.0,,,11000.0,738741
2020,Januar,MINIS,RENAULT,TWINGO,1765,,,,,,,,,,,,,,1342000.0,738742
2020,Januar,MINIS,SEAT,MII,138,,,,,,,,,,,70000.0,,,125000.0,738743
2020,Januar,MINIS,SKODA,CITIGO,466,,,,,,,,,,,437000.0,,,420000.0,738744
2020,Januar,MINIS,SMART,FORTWO,66,,,,,,,,,,,64000.0,,31000.0,62000.0,738745
2020,Januar,MINIS,TOYOTA,AYGO,823,,,,,,,,,,,,,,559000.0,738746
2020,Januar,MINIS,VW,UP,1866,,,,,,,,,,,463000.0,,,1405000.0,738747
2020,Januar,KLEINWAGEN,AUDI,"A1, S1",1487,,,,,,,,,,,,,,1058000.0,738748
2020,Januar,KLEINWAGEN,BMW,I3,552,,1000.0,1000.0,,,,,1000.0,1000.0,,551000.0,,,377000.0,738749
2020,Januar,KLEINWAGEN,CITROEN,C3,1554,111000.0,,,,,,,,,,,,,1125000.0,738750
2020,Januar,KLEINWAGEN,DS,DS3,195,20000.0,,,,,,,,,,64000.0,,,174000.0,738751
2020,Januar,KLEINWAGEN,FORD,FIESTA,3672,271000.0,,,,,,,,,,,,,2349000.0,738752
2020,Januar,KLEINWAGEN,FORD,PUMA,694,,498000.0,498000.0,,498000.0,498000.0,,,,,,,,594000.0,738753
2020,Januar,KLEINWAGEN,HONDA,JAZZ,144,,,,,,,,,,,,,,24000.0,738754
2020,Januar,KLEINWAGEN,HYUNDAI,I 20,1154,,,,,,,,,,,,3000.0,,622000.0,738755
2020,Januar,KLEINWAGEN,KIA,RIO,304,,,,,,,,,,,,,,162000.0,738756
2020,Januar,KLEINWAGEN,MAZDA,2,479,,475000.0,475000.0,,475000.0,475000.0,,,,,,,,456000.0,738757
2020,Januar,KLEINWAGEN,MINI,MINI,3095,146000.0,317000.0,317000.0,,,,,317000.0,317000.0,,12000.0,545000.0,468000.0,1680000.0,738758
2020,Januar,KLEINWAGEN,MITSUBISHI,"MIRAGE, SPACE STAR",1717,,,,,,,,,,,,,,510000.0,738759
2020,Januar,KLEINWAGEN,NISSAN,JUKE,625,,,,,,,,,,,,,,486000.0,738760
2020,Januar,KLEINWAGEN,NISSAN,MICRA,673,,,,,,,,,,,,,,476000.0,738761
2020,Januar,KLEINWAGEN,OPEL,CORSA,3228,74000.0,,,,,,,,,,,,,2421000.0,738762
2020,Januar,KLEINWAGEN,PEUGEOT,208,720,42000.0,,,,,,,,,,142000.0,,,512000.0,738763
2020,Januar,KLEINWAGEN,RENAULT,CLIO,2535,6000.0,,,,,,,,,,,,,1779000.0,738764
2020,Januar,KLEINWAGEN,RENAULT,ZOE,1798,,,,,,,,,,,1798000.0,,,916000.0,738765
2020,Januar,KLEINWAGEN,SEAT,IBIZA,1638,45000.0,,,,,,,,,,,,,807000.0,738766
2020,Januar,KLEINWAGEN,SKODA,FABIA,2222,,,,,,,,,,,,,,1686000.0,738767
2020,Januar,KLEINWAGEN,SMART,FORFOUR,42,,,,,,,,,,,42000.0,,,21000.0,738768
2020,Januar,KLEINWAGEN,SUZUKI,IGNIS,253,,153000.0,153000.0,,153000.0,153000.0,,,,,,49000.0,,75000.0,738769
2020,Januar,KLEINWAGEN,SUZUKI,SWIFT,172,,100000.0,100000.0,,100000.0,100000.0,,,,,,41000.0,,86000.0,738770
2020,Januar,KLEINWAGEN,TOYOTA,YARIS,1129,,728000.0,728000.0,,728000.0,728000.0,,,,,,,,439000.0,738771
2020,Januar,KLEINWAGEN,VW,POLO,4425,312000.0,,,,,,,,,,,,,2486000.0,738772
2020,Januar,KOMPAKTKLASSE,ALFA ROMEO,ALFA GIULIETTA,62,11000.0,,,,,,,,,,,,,33000.0,738773
2020,Januar,KOMPAKTKLASSE,AUDI,"A3, S3, RS3",2403,711000.0,314000.0,314000.0,,,,,314000.0,314000.0,,,524000.0,153000.0,1795000.0,738774
2020,Januar,KOMPAKTKLASSE,BMW,1ER,2671,858000.0,,,,,,,,,,,420000.0,,1646000.0,738775
2020,Januar,KOMPAKTKLASSE,BMW,2ER,1565,492000.0,163000.0,163000.0,,,,,163000.0,163000.0,,,296000.0,125000.0,1207000.0,738776
2020,Januar,KOMPAKTKLASSE,CITROEN,C4,378,254000.0,,,,,,,,,,,,,306000.0,738777
2020,Januar,KOMPAKTKLASSE,DACIA,LOGAN,564,50000.0,,,,,,,,,,,,,92000.0,738778
2020,Januar,KOMPAKTKLASSE,DACIA,SANDERO,1272,63000.0,,,,,,,,,,,,,97000.0,738779
2020,Januar,KOMPAKTKLASSE,FIAT,TIPO,368,127000.0,,,,,,,,,,,,,229000.0,738780
2020,Januar,KOMPAKTKLASSE,FORD,FOCUS,5504,2398000.0,,,,,,,,,,,,,3649000.0,738781
2020,Januar,KOMPAKTKLASSE,HONDA,CIVIC,265,3000.0,,,,,,,,,,,,,181000.0,738782
2020,Januar,KOMPAKTKLASSE,HYUNDAI,I 30,1522,141000.0,,,,,,,,,,,,,881000.0,738783
2020,Januar,KOMPAKTKLASSE,HYUNDAI,IONIQ,416,,225000.0,225000.0,,79000.0,79000.0,,146000.0,146000.0,,191000.0,,,295000.0,738784
2020,Januar,KOMPAKTKLASSE,INFINITI,Q30,21,,,,,,,,,,,,14000.0,,4000.0,738785
2020,Januar,KOMPAKTKLASSE,KIA,CEED,1766,260000.0,54000.0,54000.0,,,,,54000.0,54000.0,,,,,887000.0,738786
2020,Januar,KOMPAKTKLASSE,LADA,VESTA,20,,,,,,,,,,,,,,15000.0,738787
2020,Januar,KOMPAKTKLASSE,LEXUS,CT,11,,11000.0,11000.0,,11000.0,11000.0,,,,,,,,8000.0,738788
2020,Januar,KOMPAKTKLASSE,MAZDA,3,621,33000.0,581000.0,581000.0,,581000.0,581000.0,,,,,,37000.0,,210000.0,738789
2020,Januar,KOMPAKTKLASSE,MAZDA,MX-5,26,,,,,,,,,,,,,26000.0,22000.0,738790
2020,Januar,KOMPAKTKLASSE,MERCEDES,A-KLASSE,2767,558000.0,2000.0,2000.0,,,,,2000.0,2000.0,,,497000.0,,1891000.0,738791
2020,Januar,KOMPAKTKLASSE,NISSAN,LEAF,182,,,,,,,,,,,182000.0,,,138000.0,738792
2020,Januar,KOMPAKTKLASSE,OPEL,AMPERA,145,,,,,,,,,,,145000.0,,,128000.0,738793
2020,Januar,KOMPAKTKLASSE,OPEL,ASTRA,2800,1272000.0,,,,,,,,,,,,,2441000.0,738794
2020,Januar,KOMPAKTKLASSE,PEUGEOT,308,624,341000.0,,,,,,,,,,,,,478000.0,738795
2020,Januar,KOMPAKTKLASSE,RENAULT,MEGANE,498,168000.0,,,,,,,,,,,,,348000.0,738796
2020,Januar,KOMPAKTKLASSE,SEAT,LEON,3310,568000.0,,,,,,,,,,,397000.0,,2115000.0,738797
2020,Januar,KOMPAKTKLASSE,SKODA,OCTAVIA,3404,2276000.0,,,,,,,,,,,468000.0,,2852000.0,738798
2020,Januar,KOMPAKTKLASSE,SKODA,SCALA,1170,219000.0,,,,,,,,,,,,,843000.0,738799
2020,Januar,KOMPAKTKLASSE,SUBARU,IMPREZA,8,,,,,,,,,,,,8000.0,,5000.0,738800
2020,Januar,KOMPAKTKLASSE,TOYOTA,COROLLA,1185,,1036000.0,1036000.0,,1036000.0,1036000.0,,,,,,,,617000.0,738801
2020,Januar,KOMPAKTKLASSE,TOYOTA,PRIUS,45,,45000.0,45000.0,,13000.0,13000.0,,32000.0,32000.0,,,,,23000.0,738802
2020,Januar,KOMPAKTKLASSE,VW,GOLF,12201,3284000.0,286000.0,286000.0,,97000.0,97000.0,,189000.0,189000.0,,1120000.0,471000.0,,9080000.0,738803
2020,Januar,MITTELKLASSE,ALFA ROMEO,GIULIA,63,7000.0,,,,,,,,,,,32000.0,,49000.0,738804
2020,Januar,MITTELKLASSE,AUDI,"A4, S4, RS4",4652,2126000.0,2495000.0,1065000.0,1430000.0,2495000.0,1065000.0,1430000.0,,,,,1965000.0,,4388000.0,738805
2020,Januar,MITTELKLASSE,AUDI,"A5, S5, RS5",1149,469000.0,623000.0,444000.0,179000.0,623000.0,444000.0,179000.0,,,,,470000.0,164000.0,1074000.0,738806
