KBA-Referenznummer;Rckrufcode des Herstellers;Verffentlichungsdatum;Marke;Modell;Mangelbezeichnung;Produktionszeitraum von;Produktionszeitraum bis;Rckrufseite des Herstellers;Mangelbeschreibung;Titel der Manahme;Beschreibung der Manahme;Mgliche Eingrenzung der betroffenen Modelle;Bekannte Vorflle mit Sach- und/oder Personenschden;Anzahl potentiell betroffene Fahrzeugteile weltweit;Anzahl potentiell betroffene Fahrzeugteile
0922;S91;39448;IVECO;DAILY;Die Befestigungsmuttern der Quertraverse für die Anhängekupplung können sich lockern und zur Zugtrennung führen.;2002;2004;N/A;Die Befestigungsmuttern der Quertraverse für die Anhängekupplung können sich lockern und zur Zugtrennung führen.;;;N/A;N/A;N/A;3756
0926;3C3;39448;HONDA MOTORRAD;XL1000V, XL1000VA;Der Motor schaltet nicht automatisch aus, wenn bei ausgeklapptem Seitenständer ein Gang eingelegt wird.;2003;2004;N/A;Der Motor schaltet nicht automatisch aus, wenn bei ausgeklapptem Seitenständer ein Gang eingelegt wird.;;;N/A;N/A;N/A;5282
0930;X5M;39448;PEUGEOT;307;Das Verbindungsgelenk zwischen Querlenker und Achsschenkel kann sich lösen.;2004;2004;N/A;Das Verbindungsgelenk zwischen Querlenker und Achsschenkel kann sich lösen.;;;N/A;N/A;N/A;10028
0933;A404;39448;PORSCHE;CAYENNE;Fehlende Vernietung der Halterung des Gurtschlosses kann zum Lösen des Sicherheitsgurtes führen.;2003;2005;N/A;Fehlende Vernietung der Halterung des Gurtschlosses kann zum Lösen des Sicherheitsgurtes führen.;;;N/A;N/A;N/A;800
0862;keine Angabe;39448;MERCEDES-BENZ;CL, S-KLASSE;Es kann zu einer Überhitzung des Sicherungshalters des Gebläsereglers kommen. Betroffen sind CL500, CL600, S430, S500, S600, S320 CDI und S400 CDI.;1997;2000;N/A;Es kann zu einer Überhitzung des Sicherungshalters des Gebläsereglers kommen. Betroffen sind CL500, CL600, S430, S500, S600, S320 CDI und S400 CDI.;;;N/A;N/A;N/A;36500
0869;EM-002/04;39448;NISSAN;X-TRAIL, ALMERA;Eine fehlerhafte Kettenspannerfunktion kann zum Lockern ggf. Überspringen der Steuerkette, folglich zum Motorausfall damit auch zum Ausfall der Bremskraftunterstützung führen.;1999;2002;N/A;Eine fehlerhafte Kettenspannerfunktion kann zum Lockern ggf. Überspringen der Steuerkette, folglich zum Motorausfall damit auch zum Ausfall der Bremskraftunterstützung führen.;;;N/A;N/A;N/A;7317
1261;05-C-50;39448;OPEL;SINTRA;Mögliches Einklemmen des Armes in der elektrischen Schiebetür.;1998;1999;N/A;Mögliches Einklemmen des Armes in der elektrischen Schiebetür.;;;N/A;N/A;N/A;1287
1136;D46;39448;CHRYSLER;PT CRUISER;Falsch verwendete Software der Motorsteuerung führt zu Funktionsstörungen des On-Board-Diagnose (OBD)-Systems.;2005;2005;N/A;Falsch verwendete Software der Motorsteuerung führt zu Funktionsstörungen des On-Board-Diagnose (OBD)-Systems.;;;N/A;N/A;N/A;380
1151;0AJN;39448;RENAULT;CLIO;Nicht korrekt verlegte Kabel können durch Durchscheuern zum Kurzschluss oder Dauerbetrieb des Signalhorns führen;2003;2004;N/A;Nicht korrekt verlegte Kabel können durch Durchscheuern zum Kurzschluss oder Dauerbetrieb des Signalhorns führen;;;N/A;N/A;N/A;18875
1156;5KGM-208;39448;TOYOTA;4RUNNER, TACOMA, TUNDRA, LAND CRUISER, SEQUOIA;Herstellungsbedingte Beschädigung des Kugelgelenks an der Vorderachse kann zu einem Verlust der Lenkbarkeit führen.;2001;2003;N/A;Herstellungsbedingte Beschädigung des Kugelgelenks an der Vorderachse kann zu einem Verlust der Lenkbarkeit führen.;;;N/A;N/A;N/A;1319
