DATE,ZULASSIGE GESAMTMASSE IN KG,PERSONENKRAFTWAGEN,DARUNTER WOHNMOBILE
202202,BIS 500,,
202202,501 - 800,,
202202,801 - 1000,43.0,
202202,1001 - 1200,2.0,
202202,1201 - 1400,6947.0,
202202,1401 - 1700,24375.0,
202202,1701 - 2000,55853.0,5.0
202202,2001 - 2500,77035.0,47.0
202202,2501 - 2800,18018.0,77.0
202202,2801 - 3000,5538.0,169.0
202202,3001 - 3500,11816.0,3850.0
202202,3501 - 4000,123.0,123.0
202202,4001 - 5000,568.0,502.0
202202,5001 - 6000,118.0,75.0
202202,6001 - 7000,9.0,9.0
202202,7001 - 7500,50.0,49.0
202202,7501 - 8000,,
202202,8001 - 9000,,
202202,9001 - 10000,1.0,
202202,10001 - 12000,4.0,4.0
202202,12001 - 14000,,
202202,14001 - 16000,4.0,4.0
202202,16001 - 18000,,
202202,18001 - 20000,,
202202,20001 - 22000,,
202202,22001 - 24000,,
202202,24001 - 26000,,
202202,26001 - 28000,,
202202,28001 - 30000,,
202202,30001 - 40000,,
202202,40001 - 50000,,
202202,50001 UND MEHR,,
202202,UNBEKANNT,8.0,8.0
202212,BIS 500,,
202212,501 - 800,,
202212,801 - 1000,119.0,
202212,1001 - 1200,,
202212,1201 - 1400,11598.0,
202212,1401 - 1700,29319.0,
202212,1701 - 2000,53723.0,
202212,2001 - 2500,148955.0,39.0
202212,2501 - 2800,43713.0,41.0
202212,2801 - 3000,9861.0,120.0
202212,3001 - 3500,16369.0,1908.0
202212,3501 - 4000,130.0,126.0
202212,4001 - 5000,417.0,328.0
202212,5001 - 6000,71.0,39.0
202212,6001 - 7000,6.0,6.0
202212,7001 - 7500,24.0,23.0
202212,7501 - 8000,,
202212,8001 - 9000,,
202212,9001 - 10000,1.0,1.0
202212,10001 - 12000,4.0,4.0
202212,12001 - 14000,,
202212,14001 - 16000,5.0,5.0
202212,16001 - 18000,,
202212,18001 - 20000,,
202212,20001 - 22000,,
202212,22001 - 24000,,
202212,24001 - 26000,,
202212,26001 - 28000,,
202212,28001 - 30000,,
202212,30001 - 40000,,
202212,40001 - 50000,,
202212,50001 UND MEHR,,
202212,UNBEKANNT,3.0,3.0
202205,BIS 500,,
202205,501 - 800,,
202205,801 - 1000,9.0,
202205,1001 - 1200,2.0,
202205,1201 - 1400,8729.0,
202205,1401 - 1700,25140.0,
202205,1701 - 2000,57649.0,
202205,2001 - 2500,72333.0,32.0
202205,2501 - 2800,18968.0,130.0
202205,2801 - 3000,6763.0,473.0
202205,3001 - 3500,16274.0,6773.0
202205,3501 - 4000,306.0,304.0
202205,4001 - 5000,802.0,726.0
202205,5001 - 6000,116.0,83.0
202205,6001 - 7000,18.0,17.0
202205,7001 - 7500,73.0,71.0
202205,7501 - 8000,,
202205,8001 - 9000,,
202205,9001 - 10000,1.0,1.0
202205,10001 - 12000,3.0,3.0
202205,12001 - 14000,,
202205,14001 - 16000,3.0,3.0
202205,16001 - 18000,,
202205,18001 - 20000,,
202205,20001 - 22000,,
202205,22001 - 24000,,
202205,24001 - 26000,,
202205,26001 - 28000,,
202205,28001 - 30000,,
202205,30001 - 40000,,
202205,40001 - 50000,,
202205,50001 UND MEHR,,
202205,UNBEKANNT,10.0,10.0
202211,BIS 500,,
202211,501 - 800,,
202211,801 - 1000,28.0,
202211,1001 - 1200,,
202211,1201 - 1400,10498.0,
202211,1401 - 1700,28989.0,
202211,1701 - 2000,53413.0,
202211,2001 - 2500,114697.0,26.0
202211,2501 - 2800,29370.0,51.0
202211,2801 - 3000,8095.0,100.0
202211,3001 - 3500,14680.0,2395.0
202211,3501 - 4000,118.0,115.0
202211,4001 - 5000,493.0,416.0
202211,5001 - 6000,73.0,37.0
202211,6001 - 7000,9.0,9.0
202211,7001 - 7500,28.0,28.0
202211,7501 - 8000,,
202211,8001 - 9000,,
202211,9001 - 10000,2.0,1.0
202211,10001 - 12000,7.0,7.0
202211,12001 - 14000,1.0,1.0
202211,14001 - 16000,2.0,2.0
202211,16001 - 18000,,
202211,18001 - 20000,,
202211,20001 - 22000,,
202211,22001 - 24000,,
202211,24001 - 26000,,
