DATE,MARKE,ANZAHL,CO2-EMISSION IN G/KM,EURO 6,ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN
202212,ALFA ROMEO,491,123.2,491,,354,132
202212,AUDI,22198,101.3,17208,4912,12313,4768
202212,BMW,22403,95.5,17862,4506,12603,5758
202212,CITROEN,2663,102.7,1997,663,530,530
202212,DACIA,8163,65.3,4103,4060,,
202212,DS,901,43.4,762,139,635,635
202212,FIAT,10334,47.4,3726,6606,2619,
202212,FORD,14226,80.2,12912,1305,9320,6819
202212,HONDA,635,106.6,518,117,514,1
202212,HYUNDAI,10956,44.1,4581,6367,2480,1430
202212,JAGUAR,273,136.4,218,55,138,37
202212,JEEP,4470,48.8,4463,,4384,4315
202212,KIA,8489,51.4,6453,2035,4634,4076
202212,LAND ROVER,991,157.2,991,,886,355
202212,LEXUS,326,76.2,326,,316,189
202212,LYNK & CO,2990,24.1,2990,,2990,2990
202212,MAZDA,4229,88.2,4138,91,2784,2076
202212,MERCEDES,28741,99.8,24134,4585,13159,8697
202212,MG ROEWE,4518,22.7,2316,2202,2291,2291
202212,MINI,3579,65.4,1972,1607,428,428
202212,MITSUBISHI,5668,55.8,5666,,4882,4882
202212,NISSAN,2903,115,2382,521,1491,
202212,OPEL,17397,54.6,9497,7900,2935,2935
202212,PEUGEOT,6087,38.9,2720,3367,1437,1437
202212,POLESTAR,887,,,887,,
202212,PORSCHE,2724,159.4,1989,726,426,399
202212,RENAULT,14923,71.9,8289,6634,3440,338
202212,SEAT,11987,60.5,8583,3404,4955,4782
202212,SKODA,12400,111.4,11137,1263,1370,1300
202212,SMART,1943,,,1943,,
202212,SONSTIGE,3929,62.4,1044,2330,465,156
202212,SUBARU,255,144.6,199,56,99,
202212,SUZUKI,1730,117.9,1730,,1729,58
202212,TESLA,17501,,,17501,,
202212,TOYOTA,6434,107.7,6118,243,4132,314
202212,VOLVO,5462,60.1,3965,1497,3927,2522
202212,VW,50512,88.7,33620,16803,5494,5151
202211,ALFA ROMEO,371,159.2,371,,208,1
202211,AUDI,22054,117.8,18709,3241,12186,3811
202211,BMW,18983,117.8,17661,1262,11537,4629
202211,CITROEN,2275,146.3,1932,339,212,212
202211,DACIA,6980,92.2,4944,2035,,
202211,DS,594,41.3,480,114,405,405
202211,FIAT,7997,65.8,4003,3989,3007,
202211,FORD,13567,99.7,13173,387,8410,4699
202211,HONDA,564,110,495,69,495,
202211,HYUNDAI,10090,75.4,6802,3275,3693,1535
202211,JAGUAR,242,175.3,236,6,152,35
