DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202205,MINIS,CITROEN C1,20,109.5,20,109.5,4.7,,,,,,,,
202205,MINIS,DACIA SPRING,1326,,,,,,,,,,,,1326
202205,MINIS,FIAT 500,3503,56.3,434,152.2,6.6,,,,,,1235,,1834
202205,MINIS,FIAT PANDA,256,112.3,1,156,6.7,,,,,11,244,,
202205,MINIS,HYUNDAI I 10,735,119.1,735,119.1,5.1,,,,,,,,
202205,MINIS,KIA PICANTO,528,119.7,528,119.7,5.2,,,,,,,,
202205,MINIS,PEUGEOT 108,3,110.3,3,110.3,4.8,,,,,,,,
202205,MINIS,RENAULT TWINGO,1347,31.1,358,117.2,5.1,,,,,,,,989
202205,MINIS,SEAT MII,2,,,,,,,,,,,,2
202205,MINIS,SMART FORTWO,1135,,,,,,,,,,,,1135
202205,MINIS,TOYOTA AYGO,803,110,803,110,4.7,,,,,,,,
202205,MINIS,VW UP,2223,57.7,1081,116.9,5,,,,19,,,,1123
202205,KLEINWAGEN,"AUDI A1, S1",1107,135.7,1107,135.7,5.9,,,,,,,,
202205,KLEINWAGEN,BMW I3,451,,,,,,,,,,,,451
202205,KLEINWAGEN,CITROEN C3,466,129.2,430,129.8,5.6,36,122.9,4.6,,,,,
202205,KLEINWAGEN,DS DS3,12,119.7,8,136.3,5.9,3,126.3,4.8,,,,,1
202205,KLEINWAGEN,FORD FIESTA,780,121.9,475,124.8,5.4,,,,,,305,,
202205,KLEINWAGEN,FORD PUMA,2215,129.7,134,150.1,6.5,21,119.4,4.5,,,2059,,
202205,KLEINWAGEN,HONDA E,93,,,,,,,,,,,,93
202205,KLEINWAGEN,HONDA JAZZ,244,105.3,,,,,,,,,244,,
202205,KLEINWAGEN,HYUNDAI I 20,844,124.3,554,127.2,5.5,,,,,,290,,
202205,KLEINWAGEN,KIA RIO,286,123.2,265,123.1,5.3,,,,,,21,,
202205,KLEINWAGEN,MAZDA 2,435,106,94,120.2,5.2,,,,,,341,,
202205,KLEINWAGEN,MINI MINI,3473,95.8,2242,140.4,6.1,80,139.1,5.2,,,181,181,970
202205,KLEINWAGEN,"MITSUBISHI MIRAGE, SPACE STAR",1849,116.9,1849,116.9,5,,,,,,,,
202205,KLEINWAGEN,NISSAN JUKE,338,136.8,314,138.1,6,,,,,,24,,
202205,KLEINWAGEN,NISSAN MICRA,475,129.1,475,129.1,5.6,,,,,,,,
202205,KLEINWAGEN,OPEL CORSA,5102,73.4,3093,117.5,5.1,120,106.2,4,,,,,1889
202205,KLEINWAGEN,PEUGEOT 208,1146,40.3,359,120.5,5.2,31,107,4,,,,,756
202205,KLEINWAGEN,RENAULT CLIO,714,118.9,607,121.2,5.2,63,109.4,4.1,,4,40,,
202205,KLEINWAGEN,RENAULT ZOE,839,,,,,,,,,,,,839
202205,KLEINWAGEN,SEAT IBIZA,619,126.9,599,127.7,5.5,,,,20,,,,
202205,KLEINWAGEN,SKODA FABIA,2005,121,2005,121,5.2,,,,,,,,
202205,KLEINWAGEN,SMART FORFOUR,140,,,,,,,,,,,,140
202205,KLEINWAGEN,SUZUKI IGNIS,265,118.5,,,,,,,,,265,,
202205,KLEINWAGEN,SUZUKI SWIFT,220,120.3,,,,,,,,,220,,
202205,KLEINWAGEN,TOYOTA YARIS,2550,107.4,411,140.5,6.1,,,,,,2139,,
202205,KLEINWAGEN,VW POLO,2759,130.1,2750,130.2,5.6,,,,9,,,,
202205,KOMPAKTKLASSE,"AUDI A3, S3, RS3",2444,112.7,667,180.3,7.8,540,128.9,4.9,14,,1223,725,
202205,KOMPAKTKLASSE,BMW 1ER,1846,135.3,1463,136.6,5.9,383,130.4,4.9,,,,,
202205,KOMPAKTKLASSE,BMW 2ER,1239,145.7,810,151.8,6.5,301,132.1,5,,,128,,
202205,KOMPAKTKLASSE,CITROEN C4,785,37,149,128.5,5.5,81,125.2,4.7,,,,,555
202205,KOMPAKTKLASSE,DACIA SANDERO,752,122.2,449,127.1,5.5,,,,,303,,,
202205,KOMPAKTKLASSE,DS DS4,17,60.5,2,136.5,5.9,3,127.7,4.8,,,12,12,
202205,KOMPAKTKLASSE,FIAT TIPO,25,129.3,23,130,5.6,2,122,4.6,,,,,
202205,KOMPAKTKLASSE,FORD FOCUS,1480,128.1,497,142.2,6.1,561,119.1,4.5,,,422,,
202205,KOMPAKTKLASSE,HONDA CIVIC,6,148,6,148,6.4,,,,,,,,
202205,KOMPAKTKLASSE,HYUNDAI I 30,1422,138.5,581,153.4,6.6,36,124.4,4.7,,,805,,
202205,KOMPAKTKLASSE,HYUNDAI IONIQ,364,49.4,,,,,,,,,279,161,85
202205,KOMPAKTKLASSE,KIA CEED,2224,100,1359,139,6,,,,,,865,805,
202205,KOMPAKTKLASSE,MAZDA 3,315,133.2,,,,,,,,,315,,
202205,KOMPAKTKLASSE,MAZDA MX-5,111,151.3,111,151.3,6.5,,,,,,,,
202205,KOMPAKTKLASSE,MERCEDES A-KLASSE,1147,135.7,956,144.9,6.2,116,132.9,5,,,75,75,
202205,KOMPAKTKLASSE,NISSAN LEAF,307,,,,,,,,,,,,307
