Bundesland;Date;Powertrain;Reg
BADEN-WÜRTTEMBERG;01.12.21;Benzin;8800
BADEN-WÜRTTEMBERG;01.12.21;Diesel;5013
BADEN-WÜRTTEMBERG;01.12.21;EV;7238
BADEN-WÜRTTEMBERG;01.12.21;CNG;28
BADEN-WÜRTTEMBERG;01.12.21;LPG;207
BADEN-WÜRTTEMBERG;01.12.21;Hybrid;10755
BAYERN;01.12.21;Benzin;12902
BAYERN;01.12.21;Diesel;6028
BAYERN;01.12.21;EV;8291
BAYERN;01.12.21;CNG;64
BAYERN;01.12.21;LPG;230
BAYERN;01.12.21;Hybrid;12701
BERLIN;01.12.21;Benzin;1442
BERLIN;01.12.21;Diesel;600
BERLIN;01.12.21;EV;1199
BERLIN;01.12.21;CNG;8
BERLIN;01.12.21;LPG;30
BERLIN;01.12.21;Hybrid;2195
BRANDENBURG;01.12.21;Benzin;1662
BRANDENBURG;01.12.21;Diesel;660
BRANDENBURG;01.12.21;EV;914
BRANDENBURG;01.12.21;CNG;4
BRANDENBURG;01.12.21;LPG;37
BRANDENBURG;01.12.21;Hybrid;1697
BREMEN;01.12.21;Benzin;315
BREMEN;01.12.21;Diesel;216
BREMEN;01.12.21;EV;250
BREMEN;01.12.21;CNG;
BREMEN;01.12.21;LPG;15
BREMEN;01.12.21;Hybrid;437
HAMBURG;01.12.21;Benzin;2822
HAMBURG;01.12.21;Diesel;1487
HAMBURG;01.12.21;EV;1035
HAMBURG;01.12.21;CNG;2
HAMBURG;01.12.21;LPG;24
HAMBURG;01.12.21;Hybrid;1972
HESSEN;01.12.21;Benzin;9135
HESSEN;01.12.21;Diesel;3855
HESSEN;01.12.21;EV;4918
HESSEN;01.12.21;CNG;98
HESSEN;01.12.21;LPG;122
HESSEN;01.12.21;Hybrid;7281
MECKLENBURG-VORPOMMERN;01.12.21;Benzin;841
MECKLENBURG-VORPOMMERN;01.12.21;Diesel;414
MECKLENBURG-VORPOMMERN;01.12.21;EV;566
MECKLENBURG-VORPOMMERN;01.12.21;CNG;
MECKLENBURG-VORPOMMERN;01.12.21;LPG;17
MECKLENBURG-VORPOMMERN;01.12.21;Hybrid;689
NIEDERSACHSEN;01.12.21;Benzin;8864
NIEDERSACHSEN;01.12.21;Diesel;5188
NIEDERSACHSEN;01.12.21;EV;6972
NIEDERSACHSEN;01.12.21;CNG;30
NIEDERSACHSEN;01.12.21;LPG;174
NIEDERSACHSEN;01.12.21;Hybrid;5118
NORDRHEIN-WESTFALEN;01.12.21;Benzin;14782
NORDRHEIN-WESTFALEN;01.12.21;Diesel;6727
NORDRHEIN-WESTFALEN;01.12.21;EV;10127
NORDRHEIN-WESTFALEN;01.12.21;CNG;41
NORDRHEIN-WESTFALEN;01.12.21;LPG;483
NORDRHEIN-WESTFALEN;01.12.21;Hybrid;14939
RHEINLAND-PFALZ;01.12.21;Benzin;2637
RHEINLAND-PFALZ;01.12.21;Diesel;1253
RHEINLAND-PFALZ;01.12.21;EV;2271
RHEINLAND-PFALZ;01.12.21;CNG;2
RHEINLAND-PFALZ;01.12.21;LPG;113
RHEINLAND-PFALZ;01.12.21;Hybrid;3181
SAARLAND;01.12.21;Benzin;920
SAARLAND;01.12.21;Diesel;323
SAARLAND;01.12.21;EV;510
SAARLAND;01.12.21;CNG;1
SAARLAND;01.12.21;LPG;14
SAARLAND;01.12.21;Hybrid;1111
SACHSEN;01.12.21;Benzin;2679
SACHSEN;01.12.21;Diesel;1438
SACHSEN;01.12.21;EV;1283
SACHSEN;01.12.21;CNG;10
SACHSEN;01.12.21;LPG;56
SACHSEN;01.12.21;Hybrid;2593
SACHSEN-ANHALT;01.12.21;Benzin;1462
SACHSEN-ANHALT;01.12.21;Diesel;664
SACHSEN-ANHALT;01.12.21;EV;526
SACHSEN-ANHALT;01.12.21;CNG;7
SACHSEN-ANHALT;01.12.21;LPG;47
SACHSEN-ANHALT;01.12.21;Hybrid;1341
SCHLESWIG-HOLSTEIN;01.12.21;Benzin;1850
SCHLESWIG-HOLSTEIN;01.12.21;Diesel;940
SCHLESWIG-HOLSTEIN;01.12.21;EV;1710
SCHLESWIG-HOLSTEIN;01.12.21;CNG;5
SCHLESWIG-HOLSTEIN;01.12.21;LPG;49
SCHLESWIG-HOLSTEIN;01.12.21;Hybrid;1707
THÜRINGEN;01.12.21;Benzin;1453
THÜRINGEN;01.12.21;Diesel;744
THÜRINGEN;01.12.21;EV;602
THÜRINGEN;01.12.21;CNG;6
THÜRINGEN;01.12.21;LPG;30
THÜRINGEN;01.12.21;Hybrid;1171
BADEN-WÜRTTEMBERG;01.11.21;Benzin;7922
BADEN-WÜRTTEMBERG;01.11.21;Diesel;4620
BADEN-WÜRTTEMBERG;01.11.21;EV;6445
BADEN-WÜRTTEMBERG;01.11.21;CNG;12
BADEN-WÜRTTEMBERG;01.11.21;LPG;169
BADEN-WÜRTTEMBERG;01.11.21;Hybrid;9212
BAYERN;01.11.21;Benzin;12018
BAYERN;01.11.21;Diesel;5576
BAYERN;01.11.21;EV;7282
BAYERN;01.11.21;CNG;30
BAYERN;01.11.21;LPG;148
BAYERN;01.11.21;Hybrid;11584
BERLIN;01.11.21;Benzin;1405
BERLIN;01.11.21;Diesel;558
BERLIN;01.11.21;EV;931
BERLIN;01.11.21;CNG;2
BERLIN;01.11.21;LPG;18
