DATE,BUNDESLAND,BENZIN INSGESAMT,DARUNTER EURO 6,DIESEL INSGESAMT,DARUNTER EURO 61,FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),ERDGAS (CNG) (EINSCHL. BIVALENT),ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN,SONSTIGE
202112,BADEN-WÜRTTEMBERG,8800.0,8754.0,5013.0,5009.0,207.0,28.0,7238.0,10755.0,6042.0,2.0
202112,BAYERN,12902.0,12701.0,6028.0,5992.0,230.0,64.0,8291.0,12701.0,5925.0,7.0
202112,BERLIN,1442.0,1437.0,600.0,600.0,30.0,8.0,1199.0,2195.0,961.0,
202112,BRANDENBURG,1662.0,1654.0,660.0,660.0,37.0,4.0,914.0,1697.0,885.0,1.0
202112,BREMEN,315.0,314.0,216.0,216.0,15.0,,250.0,437.0,195.0,
202112,HAMBURG,2822.0,2821.0,1487.0,1487.0,24.0,2.0,1035.0,1972.0,782.0,1.0
202112,HESSEN,9135.0,9118.0,3855.0,3855.0,122.0,98.0,4918.0,7281.0,3544.0,
202112,MECKLENBURG-VORPOMMERN,841.0,840.0,414.0,414.0,17.0,,566.0,689.0,226.0,1.0
202112,NIEDERSACHSEN,8864.0,8777.0,5188.0,5174.0,174.0,30.0,6972.0,5118.0,2624.0,3.0
202112,NORDRHEIN-WESTFALEN,14782.0,14765.0,6727.0,6725.0,483.0,41.0,10127.0,14939.0,7131.0,14.0
202112,RHEINLAND-PFALZ,2637.0,2628.0,1253.0,1253.0,113.0,2.0,2271.0,3181.0,1371.0,
202112,SAARLAND,920.0,919.0,323.0,322.0,14.0,1.0,510.0,1111.0,370.0,
202112,SACHSEN,2679.0,2667.0,1438.0,1438.0,56.0,10.0,1283.0,2593.0,938.0,1.0
202112,SACHSEN-ANHALT,1462.0,1459.0,664.0,664.0,47.0,7.0,526.0,1341.0,476.0,5.0
202112,SCHLESWIG-HOLSTEIN,1850.0,1847.0,940.0,939.0,49.0,5.0,1710.0,1707.0,826.0,4.0
202112,THÜRINGEN,1453.0,1453.0,744.0,744.0,30.0,6.0,602.0,1171.0,428.0,2.0
202112,SONSTIGE,48.0,48.0,96.0,89.0,1.0,,24.0,50.0,28.0,
202112,DEUTSCHLAND,72614.0,72202.0,35646.0,35581.0,1649.0,306.0,48436.0,68938.0,32752.0,41.0
202111,BADEN-WÜRTTEMBERG,7922.0,7876.0,4620.0,4616.0,169.0,12.0,6445.0,9212.0,5296.0,4.0
202111,BAYERN,12018.0,11663.0,5576.0,5531.0,148.0,30.0,7282.0,11584.0,4981.0,3.0
202111,BERLIN,1405.0,1392.0,558.0,558.0,18.0,2.0,931.0,1622.0,778.0,2.0
202111,BRANDENBURG,1624.0,1620.0,581.0,580.0,29.0,3.0,709.0,1324.0,570.0,
202111,BREMEN,361.0,361.0,201.0,201.0,9.0,1.0,191.0,388.0,198.0,
202111,HAMBURG,2538.0,2536.0,1331.0,1331.0,15.0,2.0,821.0,1981.0,692.0,1.0
202111,HESSEN,8551.0,8536.0,3129.0,3128.0,82.0,54.0,4262.0,5918.0,2803.0,
202111,MECKLENBURG-VORPOMMERN,784.0,783.0,375.0,375.0,13.0,4.0,328.0,625.0,262.0,
202111,NIEDERSACHSEN,7620.0,7531.0,4328.0,4290.0,132.0,22.0,4269.0,4530.0,2465.0,1.0
202111,NORDRHEIN-WESTFALEN,13349.0,13319.0,5888.0,5888.0,368.0,26.0,8747.0,13024.0,6136.0,13.0
202111,RHEINLAND-PFALZ,2458.0,2450.0,1191.0,1190.0,87.0,5.0,1947.0,2341.0,1183.0,1.0
202111,SAARLAND,778.0,778.0,288.0,288.0,23.0,3.0,467.0,882.0,339.0,2.0
202111,SACHSEN,2365.0,2353.0,1052.0,1052.0,53.0,8.0,1269.0,1905.0,729.0,1.0
202111,SACHSEN-ANHALT,1213.0,1208.0,512.0,512.0,31.0,8.0,462.0,1514.0,360.0,
202111,SCHLESWIG-HOLSTEIN,1583.0,1583.0,918.0,916.0,45.0,2.0,1563.0,1457.0,745.0,4.0
202111,THÜRINGEN,1427.0,1427.0,605.0,605.0,25.0,1.0,562.0,907.0,351.0,
202111,SONSTIGE,25.0,25.0,99.0,92.0,2.0,,15.0,37.0,11.0,
202111,DEUTSCHLAND,66021.0,65441.0,31252.0,31153.0,1249.0,183.0,40270.0,59251.0,27899.0,32.0
202110,BADEN-WÜRTTEMBERG,8316.0,8285.0,4667.0,4656.0,153.0,18.0,5308.0,8444.0,4765.0,2.0
202110,BAYERN,12528.0,12235.0,6307.0,6267.0,137.0,19.0,5692.0,10612.0,4089.0,3.0
202110,BERLIN,1457.0,1450.0,548.0,548.0,15.0,3.0,821.0,1306.0,584.0,2.0
202110,BRANDENBURG,1261.0,1253.0,628.0,628.0,35.0,5.0,497.0,1023.0,445.0,
202110,BREMEN,391.0,390.0,186.0,186.0,6.0,1.0,142.0,388.0,186.0,
202110,HAMBURG,1757.0,1752.0,1481.0,1481.0,13.0,1.0,603.0,1123.0,577.0,
202110,HESSEN,7437.0,7412.0,2885.0,2884.0,82.0,28.0,3143.0,4830.0,2307.0,2.0
202110,MECKLENBURG-VORPOMMERN,701.0,699.0,342.0,342.0,7.0,,212.0,455.0,170.0,1.0
202110,NIEDERSACHSEN,7897.0,7818.0,3378.0,3346.0,94.0,33.0,3024.0,3956.0,2136.0,8.0
202110,NORDRHEIN-WESTFALEN,12996.0,12962.0,6151.0,6149.0,262.0,32.0,6474.0,11805.0,5345.0,17.0
202110,RHEINLAND-PFALZ,2616.0,2598.0,1130.0,1129.0,78.0,4.0,1482.0,2140.0,1035.0,
202110,SAARLAND,761.0,760.0,305.0,305.0,10.0,1.0,341.0,710.0,267.0,1.0
202110,SACHSEN,2465.0,2451.0,982.0,982.0,39.0,5.0,769.0,1586.0,590.0,1.0
202110,SACHSEN-ANHALT,1173.0,1167.0,397.0,397.0,27.0,10.0,363.0,730.0,268.0,
202110,SCHLESWIG-HOLSTEIN,1590.0,1588.0,884.0,884.0,17.0,4.0,1224.0,1266.0,612.0,7.0
202110,THÜRINGEN,1334.0,1330.0,598.0,597.0,24.0,1.0,450.0,909.0,339.0,
202110,SONSTIGE,18.0,17.0,21.0,20.0,,,15.0,44.0,19.0,
202110,DEUTSCHLAND,64698.0,64167.0,30890.0,30801.0,999.0,165.0,30560.0,51327.0,23734.0,44.0
202109,BADEN-WÜRTTEMBERG,8643.0,8593.0,4339.0,4334.0,144.0,25.0,5343.0,8558.0,4232.0,5.0
202109,BAYERN,13982.0,13739.0,6329.0,6280.0,117.0,31.0,6537.0,12108.0,3940.0,12.0
202109,BERLIN,1420.0,1413.0,605.0,605.0,11.0,4.0,850.0,1590.0,557.0,11.0
202109,BRANDENBURG,1363.0,1360.0,568.0,568.0,22.0,4.0,620.0,1102.0,344.0,1.0
202109,BREMEN,395.0,392.0,210.0,210.0,11.0,1.0,170.0,376.0,162.0,
202109,HAMBURG,2068.0,2065.0,1529.0,1529.0,6.0,2.0,776.0,1545.0,564.0,4.0
202109,HESSEN,8631.0,8610.0,3086.0,3085.0,90.0,25.0,3087.0,5822.0,2206.0,6.0
202109,MECKLENBURG-VORPOMMERN,899.0,898.0,446.0,446.0,6.0,2.0,344.0,716.0,162.0,1.0
202109,NIEDERSACHSEN,8198.0,8098.0,3512.0,3508.0,102.0,42.0,3529.0,4471.0,2034.0,5.0
202109,NORDRHEIN-WESTFALEN,14086.0,14063.0,5942.0,5938.0,218.0,33.0,7317.0,14419.0,5465.0,12.0
202109,RHEINLAND-PFALZ,2616.0,2602.0,1239.0,1239.0,53.0,5.0,1655.0,2640.0,1016.0,
202109,SAARLAND,820.0,819.0,340.0,340.0,8.0,,363.0,862.0,250.0,
202109,SACHSEN,2767.0,2759.0,1127.0,1126.0,56.0,6.0,806.0,2147.0,593.0,
202109,SACHSEN-ANHALT,1319.0,1316.0,512.0,512.0,25.0,4.0,441.0,1151.0,328.0,1.0
202109,SCHLESWIG-HOLSTEIN,2020.0,2018.0,945.0,944.0,20.0,4.0,1276.0,1561.0,645.0,1.0
202109,THÜRINGEN,1421.0,1419.0,578.0,578.0,17.0,2.0,506.0,1064.0,333.0,
202109,SONSTIGE,19.0,19.0,29.0,29.0,,,35.0,27.0,11.0,
202109,DEUTSCHLAND,70667.0,70183.0,31336.0,31271.0,906.0,190.0,33655.0,60159.0,22842.0,59.0
202108,BADEN-WÜRTTEMBERG,8037.0,8000.0,4209.0,4205.0,91.0,18.0,4176.0,8390.0,4066.0,1.0
202108,BAYERN,13223.0,12964.0,7239.0,7212.0,79.0,41.0,5432.0,13681.0,4621.0,1.0
202108,BERLIN,1522.0,1516.0,585.0,585.0,19.0,7.0,763.0,1915.0,684.0,1.0
202108,BRANDENBURG,1487.0,1485.0,671.0,671.0,19.0,9.0,563.0,1177.0,412.0,
202108,BREMEN,339.0,339.0,226.0,226.0,1.0,3.0,149.0,324.0,126.0,
202108,HAMBURG,2620.0,2615.0,2303.0,2303.0,5.0,1.0,580.0,1946.0,698.0,3.0
