DATE,MARKE,INSGESAMT,WEISS,GELB,ORANGE,ROT,LILA/VIOLETT,BLAU,GRUN,GRAU,BRAUN,SCHWARZ,SONSTIGE
202212,ALFA ROMEO,491.0,54.0,,,109.0,,36.0,53.0,106.0,,133.0,
202212,AUDI,22198.0,3066.0,112.0,75.0,477.0,51.0,2077.0,384.0,7182.0,19.0,8754.0,1.0
202212,BMW,22403.0,4355.0,32.0,100.0,396.0,29.0,2035.0,565.0,6011.0,9.0,8864.0,7.0
202212,CITROEN,2663.0,774.0,,38.0,42.0,1.0,335.0,,851.0,1.0,305.0,316.0
202212,DACIA,8163.0,1420.0,,399.0,218.0,,1521.0,251.0,2439.0,242.0,1673.0,
202212,DS,901.0,247.0,,,22.0,,31.0,,380.0,30.0,191.0,
202212,FIAT,10334.0,1676.0,,72.0,1527.0,1.0,465.0,1247.0,1894.0,2.0,2968.0,482.0
202212,FORD,14226.0,2801.0,10.0,119.0,990.0,,2063.0,84.0,4530.0,1.0,3450.0,178.0
202212,HONDA,635.0,169.0,1.0,,72.0,,78.0,,159.0,15.0,141.0,
202212,HYUNDAI,10956.0,1930.0,121.0,27.0,549.0,13.0,2307.0,568.0,3394.0,348.0,1697.0,2.0
202212,JAGUAR,273.0,29.0,3.0,,14.0,,26.0,5.0,91.0,2.0,103.0,
202212,JEEP,4470.0,914.0,1.0,,190.0,,582.0,5.0,828.0,1.0,1949.0,
202212,KIA,8489.0,2136.0,217.0,66.0,398.0,2.0,558.0,459.0,2612.0,96.0,1945.0,
202212,LAND ROVER,991.0,150.0,1.0,1.0,9.0,,33.0,32.0,349.0,41.0,374.0,1.0
202212,LEXUS,326.0,47.0,,,5.0,,20.0,35.0,123.0,7.0,89.0,
202212,LYNK & CO,2990.0,,,,,,1719.0,,,,1271.0,
202212,MAZDA,4229.0,991.0,94.0,,774.0,,358.0,8.0,1078.0,257.0,669.0,
202212,MERCEDES,28741.0,5132.0,245.0,12.0,764.0,26.0,1775.0,172.0,9078.0,201.0,10883.0,453.0
202212,MG ROEWE,4518.0,1134.0,,41.0,417.0,,178.0,,931.0,,1817.0,
202212,MINI,3579.0,407.0,26.0,,230.0,,538.0,536.0,988.0,,854.0,
202212,MITSUBISHI,5668.0,1220.0,62.0,3.0,737.0,,538.0,,1743.0,296.0,1069.0,
202212,NISSAN,2903.0,650.0,,12.0,295.0,,140.0,16.0,1165.0,43.0,582.0,
202212,OPEL,17397.0,4073.0,357.0,1365.0,2091.0,1.0,1585.0,630.0,3068.0,20.0,4182.0,25.0
202212,PEUGEOT,6087.0,1181.0,587.0,240.0,421.0,1.0,1060.0,62.0,1152.0,13.0,1248.0,122.0
202212,POLESTAR,887.0,165.0,,,,,83.0,,436.0,,203.0,
202212,PORSCHE,2724.0,313.0,13.0,18.0,92.0,2.0,213.0,96.0,856.0,34.0,1087.0,
202212,RENAULT,14923.0,4791.0,138.0,338.0,1662.0,43.0,1636.0,1.0,3306.0,41.0,2951.0,16.0
202212,SEAT,11987.0,2793.0,,,557.0,1.0,1263.0,130.0,5333.0,3.0,1900.0,7.0
202212,SKODA,12400.0,2304.0,7.0,238.0,419.0,3.0,1929.0,77.0,4180.0,1.0,3242.0,
202212,SMART,1943.0,380.0,44.0,,154.0,,86.0,49.0,419.0,,811.0,
202212,SUBARU,255.0,28.0,,,14.0,,36.0,34.0,102.0,11.0,30.0,
202212,SUZUKI,1730.0,226.0,99.0,21.0,326.0,,248.0,59.0,418.0,143.0,190.0,
202212,TESLA,17501.0,8603.0,2.0,,395.0,1.0,1019.0,2.0,2574.0,1.0,4904.0,
202212,TOYOTA,6434.0,1881.0,33.0,92.0,553.0,28.0,348.0,331.0,1920.0,269.0,976.0,3.0
202212,VOLVO,5462.0,641.0,,82.0,,,667.0,205.0,1469.0,,2397.0,1.0
202212,VW,50512.0,11677.0,317.0,123.0,2300.0,39.0,4642.0,501.0,19345.0,134.0,11077.0,357.0
202212,SONSTIGE,3929.0,1132.0,41.0,17.0,325.0,93.0,570.0,72.0,815.0,20.0,608.0,236.0
202205,ALFA ROMEO,226.0,50.0,3.0,,45.0,,13.0,4.0,45.0,4.0,62.0,
202205,AUDI,16287.0,2234.0,146.0,32.0,398.0,30.0,1606.0,273.0,4957.0,25.0,6584.0,2.0
202205,BMW,17158.0,3455.0,35.0,89.0,270.0,42.0,1631.0,298.0,4818.0,29.0,6481.0,10.0
202205,CITROEN,4136.0,892.0,2.0,155.0,78.0,1.0,156.0,3.0,900.0,15.0,326.0,1608.0
202205,DACIA,3620.0,800.0,,195.0,238.0,,577.0,,1204.0,130.0,475.0,1.0
202205,DS,128.0,19.0,,,1.0,,21.0,,57.0,1.0,29.0,
202205,FIAT,6833.0,1021.0,4.0,3.0,538.0,,304.0,247.0,1079.0,,1278.0,2359.0
202205,FORD,12153.0,2410.0,23.0,125.0,867.0,,1688.0,77.0,3845.0,,2549.0,569.0
202205,HONDA,878.0,253.0,15.0,,141.0,,80.0,,169.0,46.0,173.0,1.0
202205,HYUNDAI,8503.0,1344.0,107.0,27.0,527.0,4.0,980.0,347.0,3607.0,146.0,1413.0,1.0
202205,JAGUAR,245.0,23.0,,,11.0,,31.0,13.0,58.0,,109.0,
202205,JEEP,1095.0,148.0,,4.0,70.0,,117.0,23.0,277.0,,456.0,
202205,KIA,6582.0,1668.0,114.0,71.0,341.0,,524.0,374.0,2216.0,67.0,1205.0,2.0
202205,LAND ROVER,1118.0,169.0,2.0,2.0,10.0,,41.0,54.0,358.0,44.0,438.0,
202205,LEXUS,136.0,27.0,1.0,,1.0,,6.0,11.0,46.0,2.0,42.0,
202205,LYNK & CO,218.0,,,,,,95.0,,,,123.0,
202205,MAZDA,1950.0,277.0,43.0,,474.0,,175.0,11.0,567.0,98.0,305.0,
202205,MERCEDES,18008.0,2873.0,276.0,13.0,371.0,22.0,986.0,106.0,5830.0,92.0,6847.0,592.0
202205,MG ROEWE,818.0,297.0,,,116.0,,40.0,,89.0,,276.0,
202205,MINI,3473.0,347.0,40.0,,245.0,1.0,578.0,486.0,877.0,,899.0,
202205,MITSUBISHI,2852.0,883.0,121.0,1.0,666.0,1.0,249.0,1.0,516.0,39.0,373.0,2.0
202205,NISSAN,2457.0,437.0,,22.0,360.0,1.0,197.0,,900.0,10.0,528.0,2.0
202205,OPEL,13057.0,2326.0,76.0,808.0,1759.0,1.0,1250.0,184.0,3521.0,19.0,3043.0,70.0
202205,PEUGEOT,3183.0,699.0,222.0,92.0,189.0,,513.0,78.0,703.0,15.0,604.0,68.0
202205,POLESTAR,460.0,70.0,,,,,73.0,,135.0,,182.0,
202205,PORSCHE,2485.0,216.0,17.0,20.0,129.0,7.0,198.0,153.0,805.0,12.0,928.0,
202205,RENAULT,5979.0,1679.0,83.0,203.0,733.0,28.0,596.0,,1390.0,59.0,1169.0,39.0
202205,SEAT,9510.0,2079.0,,,495.0,,744.0,395.0,3807.0,10.0,1976.0,4.0
202205,SKODA,10645.0,2111.0,18.0,178.0,359.0,6.0,1694.0,16.0,3390.0,5.0,2867.0,1.0
202205,SMART,1275.0,216.0,28.0,1.0,91.0,3.0,67.0,68.0,228.0,1.0,572.0,
202205,SUBARU,230.0,17.0,2.0,,22.0,,26.0,50.0,67.0,20.0,26.0,
202205,SUZUKI,953.0,127.0,50.0,13.0,158.0,,118.0,29.0,217.0,88.0,152.0,1.0
202205,TESLA,293.0,78.0,,,7.0,,24.0,,66.0,1.0,117.0,
202205,TOYOTA,6516.0,1663.0,191.0,27.0,549.0,7.0,374.0,444.0,2020.0,125.0,1104.0,12.0
202205,VOLVO,2775.0,592.0,,43.0,,1.0,278.0,6.0,709.0,,1145.0,1.0
202205,VW,38782.0,7914.0,276.0,183.0,1758.0,98.0,4061.0,469.0,14972.0,121.0,8275.0,655.0
202205,SONSTIGE,2182.0,313.0,29.0,20.0,188.0,5.0,223.0,99.0,406.0,41.0,435.0,423.0
202211,ALFA ROMEO,371.0,31.0,,,84.0,,48.0,19.0,97.0,,92.0,
202211,AUDI,22054.0,2990.0,210.0,71.0,512.0,24.0,2319.0,320.0,7152.0,14.0,8441.0,1.0
202211,BMW,18983.0,3877.0,38.0,82.0,341.0,48.0,1889.0,545.0,4851.0,16.0,7287.0,9.0
202211,CITROEN,2275.0,558.0,,38.0,59.0,,172.0,,694.0,1.0,225.0,528.0
202211,DACIA,6980.0,1435.0,,495.0,455.0,,657.0,2.0,2169.0,259.0,1508.0,
202211,DS,594.0,209.0,,,12.0,,24.0,,207.0,13.0,129.0,
202211,FIAT,7997.0,1699.0,,154.0,1084.0,,357.0,929.0,1232.0,,1955.0,587.0
202211,FORD,13567.0,2859.0,10.0,71.0,932.0,,1801.0,66.0,4267.0,,3298.0,263.0
202211,HONDA,564.0,142.0,1.0,,79.0,,83.0,,112.0,26.0,121.0,
202211,HYUNDAI,10090.0,1836.0,81.0,51.0,578.0,10.0,1385.0,548.0,3641.0,191.0,1768.0,1.0
202211,JAGUAR,242.0,31.0,1.0,1.0,11.0,,25.0,8.0,78.0,,87.0,
202211,JEEP,2133.0,329.0,30.0,,82.0,,175.0,15.0,480.0,5.0,1017.0,
202211,KIA,6887.0,1825.0,96.0,62.0,322.0,,483.0,407.0,2176.0,35.0,1481.0,
202211,LAND ROVER,926.0,112.0,2.0,,8.0,,19.0,28.0,295.0,37.0,425.0,
202211,LEXUS,335.0,62.0,,,9.0,,19.0,44.0,132.0,4.0,65.0,
202211,LYNK & CO,447.0,,,,,,234.0,,,,213.0,
202211,MAZDA,3337.0,866.0,62.0,,652.0,,251.0,12.0,811.0,166.0,517.0,
202211,MERCEDES,27591.0,5013.0,367.0,8.0,805.0,20.0,1572.0,164.0,8619.0,195.0,10343.0,485.0
202211,MG ROEWE,1637.0,478.0,,39.0,90.0,1.0,77.0,,414.0,,538.0,
202211,MINI,3704.0,399.0,57.0,,195.0,,617.0,536.0,1060.0,,838.0,2.0
202211,MITSUBISHI,2854.0,687.0,49.0,,458.0,,194.0,,756.0,104.0,606.0,
202211,NISSAN,2532.0,621.0,,10.0,253.0,,140.0,10.0,983.0,39.0,476.0,
202211,OPEL,12799.0,2988.0,188.0,498.0,1561.0,,1127.0,583.0,2744.0,11.0,3080.0,19.0
202211,PEUGEOT,4141.0,977.0,376.0,86.0,243.0,,649.0,75.0,842.0,7.0,698.0,188.0
202211,POLESTAR,1669.0,197.0,,,,,199.0,,903.0,,370.0,
202211,PORSCHE,2825.0,259.0,12.0,8.0,105.0,3.0,229.0,150.0,887.0,25.0,1147.0,
202211,RENAULT,7340.0,2293.0,59.0,250.0,845.0,23.0,797.0,,1644.0,18.0,1397.0,14.0
202211,SEAT,9269.0,2164.0,,,381.0,,938.0,147.0,3899.0,8.0,1723.0,9.0
202211,SKODA,11226.0,2082.0,8.0,163.0,350.0,3.0,1663.0,57.0,3803.0,1.0,3096.0,
202211,SMART,1440.0,242.0,35.0,,129.0,,78.0,25.0,361.0,1.0,569.0,
202211,SUBARU,339.0,65.0,3.0,1.0,15.0,,45.0,53.0,104.0,22.0,31.0,
202211,SUZUKI,2064.0,275.0,127.0,28.0,360.0,,282.0,65.0,493.0,150.0,284.0,
202211,TESLA,10819.0,4271.0,2.0,,367.0,,900.0,,2204.0,3.0,3071.0,1.0
202211,TOYOTA,7188.0,1969.0,51.0,179.0,672.0,12.0,391.0,458.0,2242.0,306.0,897.0,11.0
202211,VOLVO,4404.0,498.0,,66.0,,,526.0,145.0,1213.0,,1955.0,1.0
202211,VW,46807.0,9599.0,312.0,197.0,1896.0,79.0,4509.0,493.0,18559.0,134.0,10656.0,373.0
202211,SONSTIGE,2082.0,386.0,27.0,18.0,140.0,7.0,260.0,72.0,396.0,23.0,574.0,179.0
202210,ALFA ROMEO,435.0,40.0,2.0,,95.0,,48.0,34.0,82.0,1.0,133.0,
202210,AUDI,17228.0,2532.0,175.0,43.0,404.0,17.0,1778.0,301.0,5287.0,19.0,6668.0,4.0
202210,BMW,15032.0,2943.0,32.0,65.0,266.0,52.0,1656.0,427.0,4059.0,8.0,5524.0,
202210,CITROEN,2140.0,462.0,1.0,24.0,60.0,,175.0,2.0,603.0,1.0,232.0,580.0
202210,DACIA,4026.0,836.0,,289.0,230.0,,343.0,,1444.0,168.0,715.0,1.0
202210,DS,509.0,157.0,,,4.0,,18.0,,160.0,18.0,152.0,
202210,FIAT,5664.0,1305.0,,154.0,507.0,,300.0,509.0,902.0,,1428.0,559.0
202210,FORD,11887.0,2476.0,42.0,70.0,734.0,,1480.0,60.0,4077.0,,2611.0,337.0
202210,HONDA,583.0,164.0,1.0,,60.0,,55.0,,125.0,51.0,127.0,
202210,HYUNDAI,8166.0,1371.0,69.0,29.0,483.0,5.0,930.0,565.0,2908.0,153.0,1652.0,1.0
202210,JAGUAR,187.0,11.0,,1.0,13.0,,24.0,10.0,55.0,1.0,72.0,
202210,JEEP,912.0,130.0,2.0,,67.0,,77.0,8.0,190.0,5.0,432.0,1.0
202210,KIA,5656.0,1458.0,76.0,64.0,340.0,,455.0,400.0,1774.0,37.0,1052.0,
202210,LAND ROVER,939.0,120.0,5.0,2.0,23.0,,25.0,31.0,292.0,48.0,391.0,2.0
202210,LEXUS,188.0,40.0,1.0,2.0,3.0,,9.0,25.0,65.0,1.0,41.0,1.0
202210,LYNK & CO,448.0,,,,,,194.0,,,,254.0,
202210,MAZDA,3438.0,749.0,76.0,,736.0,,294.0,11.0,905.0,166.0,501.0,
202210,MERCEDES,21303.0,3810.0,194.0,6.0,575.0,14.0,1181.0,159.0,6667.0,157.0,7995.0,545.0
202210,MG ROEWE,2032.0,478.0,,103.0,211.0,,135.0,,405.0,,700.0,
202210,MINI,3176.0,344.0,44.0,,214.0,,471.0,472.0,928.0,,703.0,
202210,MITSUBISHI,2327.0,709.0,29.0,,389.0,1.0,191.0,,543.0,94.0,371.0,
202210,NISSAN,2095.0,408.0,,6.0,220.0,,165.0,5.0,884.0,23.0,381.0,3.0
202210,OPEL,9762.0,2243.0,110.0,314.0,1239.0,,813.0,455.0,2146.0,8.0,2410.0,24.0
202210,PEUGEOT,3178.0,925.0,183.0,53.0,180.0,,450.0,39.0,664.0,6.0,526.0,152.0
202210,POLESTAR,1073.0,186.0,,,,,128.0,,536.0,,223.0,
202210,PORSCHE,2242.0,246.0,13.0,15.0,96.0,5.0,165.0,122.0,771.0,13.0,796.0,
202210,RENAULT,5851.0,2078.0,30.0,260.0,589.0,31.0,536.0,1.0,1082.0,29.0,1198.0,17.0
202210,SEAT,8383.0,1929.0,,,283.0,1.0,750.0,228.0,3483.0,10.0,1693.0,6.0
202210,SKODA,11555.0,2342.0,16.0,183.0,382.0,5.0,1742.0,103.0,3673.0,,3108.0,1.0
202210,SMART,656.0,112.0,48.0,1.0,46.0,,43.0,9.0,152.0,,245.0,
202210,SUBARU,225.0,16.0,6.0,,13.0,,24.0,48.0,68.0,15.0,35.0,
202210,SUZUKI,806.0,105.0,58.0,11.0,126.0,,107.0,26.0,224.0,58.0,91.0,
202210,TESLA,3185.0,1422.0,,,155.0,,265.0,,525.0,,818.0,
202210,TOYOTA,7086.0,2002.0,87.0,69.0,745.0,19.0,520.0,489.0,1863.0,395.0,880.0,17.0
202210,VOLVO,3320.0,434.0,,55.0,,,385.0,90.0,849.0,,1505.0,2.0
202210,VW,41159.0,7997.0,302.0,124.0,1675.0,75.0,4208.0,366.0,16360.0,119.0,9517.0,416.0
202210,SONSTIGE,1790.0,261.0,20.0,18.0,153.0,6.0,180.0,55.0,376.0,15.0,469.0,237.0
202209,ALFA ROMEO,312.0,25.0,4.0,,77.0,,20.0,19.0,74.0,,93.0,
202209,AUDI,17068.0,2282.0,136.0,30.0,355.0,20.0,1803.0,259.0,5234.0,20.0,6925.0,4.0
202209,BMW,16449.0,3372.0,57.0,62.0,227.0,36.0,1695.0,384.0,4351.0,16.0,6243.0,6.0
202209,CITROEN,2843.0,576.0,4.0,39.0,124.0,,276.0,,762.0,13.0,255.0,794.0
202209,DACIA,5119.0,1005.0,,249.0,267.0,,355.0,,1752.0,320.0,1171.0,
202209,DS,295.0,78.0,,,5.0,,8.0,,120.0,12.0,72.0,
202209,FIAT,5799.0,1081.0,1.0,85.0,567.0,,421.0,438.0,794.0,,1744.0,668.0
202209,FORD,11083.0,2169.0,43.0,82.0,735.0,,1490.0,74.0,3519.0,1.0,2656.0,314.0
202209,HONDA,736.0,188.0,3.0,,70.0,,95.0,,139.0,51.0,190.0,
202209,HYUNDAI,9129.0,1573.0,75.0,43.0,564.0,7.0,1068.0,687.0,3167.0,229.0,1715.0,1.0
202209,JAGUAR,216.0,27.0,,2.0,6.0,,28.0,5.0,81.0,,67.0,
202209,JEEP,703.0,83.0,2.0,,44.0,,94.0,8.0,226.0,7.0,239.0,
202209,KIA,6125.0,1542.0,76.0,60.0,368.0,1.0,477.0,417.0,1978.0,37.0,1169.0,
202209,LAND ROVER,1030.0,150.0,5.0,,17.0,,32.0,35.0,327.0,50.0,412.0,2.0
202209,LEXUS,237.0,36.0,,,5.0,,5.0,25.0,91.0,5.0,69.0,1.0
202209,LYNK & CO,312.0,,,,,,172.0,,,,140.0,
202209,MAZDA,4259.0,945.0,107.0,,845.0,,364.0,7.0,1169.0,171.0,651.0,
202209,MERCEDES,20065.0,3378.0,195.0,8.0,523.0,11.0,1221.0,152.0,6413.0,133.0,7565.0,466.0
202209,MG ROEWE,1760.0,479.0,,28.0,254.0,,67.0,,367.0,,565.0,
202209,MINI,3127.0,345.0,41.0,,240.0,,521.0,488.0,729.0,,763.0,
202209,MITSUBISHI,2110.0,617.0,32.0,,455.0,,135.0,,444.0,61.0,365.0,1.0
202209,NISSAN,2045.0,396.0,,8.0,234.0,,221.0,5.0,741.0,9.0,431.0,
202209,OPEL,11176.0,2492.0,133.0,511.0,1922.0,,937.0,374.0,2027.0,17.0,2739.0,24.0
202209,PEUGEOT,3196.0,942.0,127.0,82.0,135.0,,348.0,52.0,731.0,15.0,572.0,192.0
202209,POLESTAR,667.0,128.0,,,,,79.0,,303.0,,157.0,
202209,PORSCHE,2415.0,242.0,15.0,28.0,89.0,5.0,230.0,133.0,782.0,17.0,874.0,
202209,RENAULT,5633.0,1658.0,37.0,294.0,614.0,4.0,526.0,,1255.0,30.0,1193.0,22.0
202209,SEAT,8446.0,1861.0,,,380.0,,718.0,311.0,3493.0,7.0,1666.0,10.0
202209,SKODA,14631.0,3020.0,8.0,219.0,532.0,3.0,2173.0,105.0,4472.0,,4098.0,1.0
202209,SMART,345.0,52.0,4.0,,32.0,,27.0,7.0,72.0,,151.0,
202209,SUBARU,283.0,23.0,5.0,,24.0,,28.0,46.0,107.0,23.0,27.0,
202209,SUZUKI,1894.0,233.0,119.0,21.0,353.0,,274.0,48.0,481.0,105.0,260.0,
202209,TESLA,13724.0,5842.0,,,703.0,,1250.0,,2689.0,1.0,3237.0,2.0
202209,TOYOTA,7020.0,1920.0,121.0,47.0,834.0,4.0,496.0,475.0,1778.0,375.0,966.0,4.0
202209,VOLVO,2358.0,319.0,,33.0,1.0,,289.0,57.0,671.0,,987.0,1.0
202209,VW,40371.0,7960.0,308.0,100.0,1686.0,79.0,4397.0,331.0,15330.0,132.0,9714.0,334.0
202209,SONSTIGE,1835.0,348.0,20.0,17.0,141.0,11.0,180.0,46.0,397.0,15.0,444.0,216.0
202207,ALFA ROMEO,291.0,18.0,6.0,,53.0,,46.0,41.0,69.0,2.0,56.0,
202207,AUDI,16260.0,2229.0,190.0,33.0,378.0,28.0,1610.0,218.0,5235.0,15.0,6322.0,2.0
202207,BMW,17288.0,3277.0,100.0,79.0,274.0,27.0,1801.0,406.0,4727.0,21.0,6567.0,9.0
202207,CITROEN,3783.0,789.0,3.0,75.0,91.0,1.0,199.0,8.0,913.0,11.0,355.0,1338.0
202207,DACIA,5716.0,1193.0,,444.0,308.0,,551.0,,1485.0,364.0,1371.0,
