DATE,LEBENSALTER DER HALTERINNEN UND HALTER,BIS 1399,1400 BIS 1999,2000 UND MEHR,UNBEKANNT,INSGESAMT,DARUNTER HALTERINNEN
202207,BIS 17 JAHRE,10.0,32.0,1.0,2.0,45.0,23.0
202207,18-20 JAHRE,154.0,114.0,13.0,34.0,315.0,125.0
202207,21-24 JAHRE,540.0,598.0,71.0,163.0,1372.0,534.0
202207,25-29 JAHRE,1164.0,1321.0,227.0,457.0,3169.0,1210.0
202207,30-34 JAHRE,1565.0,2095.0,416.0,1015.0,5091.0,1672.0
202207,35-39 JAHRE,1566.0,2498.0,634.0,1500.0,6198.0,1956.0
202207,40-44 JAHRE,1782.0,2979.0,778.0,1882.0,7421.0,2271.0
202207,45-49 JAHRE,2001.0,3230.0,872.0,1807.0,7910.0,2601.0
202207,50-54 JAHRE,3005.0,4424.0,1488.0,2819.0,11736.0,3839.0
202207,55-59 JAHRE,3500.0,4990.0,1715.0,2601.0,12806.0,3904.0
202207,60-64 JAHRE,2931.0,4376.0,1482.0,1806.0,10595.0,3160.0
202207,65-69 JAHRE,2085.0,2880.0,872.0,1171.0,7008.0,1985.0
202207,70-74 JAHRE,1585.0,1826.0,399.0,721.0,4531.0,1244.0
202207,75-79 JAHRE,846.0,960.0,178.0,309.0,2293.0,541.0
202207,80 UND MEHR JAHRE,702.0,710.0,82.0,247.0,1741.0,365.0
202207,JURISTISCHE PERSONEN,31053.0,68422.0,11756.0,12316.0,123547.0,
202203,BIS 17 JAHRE,24.0,35.0,4.0,6.0,69.0,31.0
202203,18-20 JAHRE,232.0,136.0,24.0,46.0,438.0,187.0
202203,21-24 JAHRE,700.0,722.0,106.0,275.0,1803.0,703.0
202203,25-29 JAHRE,1421.0,1642.0,338.0,795.0,4196.0,1516.0
202203,30-34 JAHRE,1858.0,2509.0,689.0,1633.0,6689.0,2150.0
202203,35-39 JAHRE,2001.0,2978.0,899.0,2069.0,7947.0,2467.0
202203,40-44 JAHRE,2205.0,3667.0,1057.0,2363.0,9292.0,2873.0
202203,45-49 JAHRE,2684.0,3989.0,1337.0,2303.0,10313.0,3347.0
202203,50-54 JAHRE,3873.0,5638.0,2175.0,3047.0,14733.0,4623.0
202203,55-59 JAHRE,4561.0,5994.0,2446.0,3182.0,16183.0,4988.0
202203,60-64 JAHRE,3711.0,5112.0,2006.0,2103.0,12932.0,3879.0
202203,65-69 JAHRE,2531.0,3490.0,1250.0,1243.0,8514.0,2404.0
202203,70-74 JAHRE,2040.0,2329.0,632.0,737.0,5738.0,1562.0
202203,75-79 JAHRE,1159.0,1202.0,276.0,317.0,2954.0,737.0
202203,80 UND MEHR JAHRE,911.0,939.0,187.0,229.0,2266.0,508.0
202203,JURISTISCHE PERSONEN,33871.0,72322.0,16785.0,14153.0,137131.0,
202204,BIS 17 JAHRE,14.0,26.0,1.0,,41.0,14.0
202204,18-20 JAHRE,152.0,133.0,11.0,29.0,325.0,143.0
202204,21-24 JAHRE,496.0,548.0,75.0,124.0,1243.0,505.0
202204,25-29 JAHRE,1047.0,1232.0,245.0,330.0,2854.0,1080.0
202204,30-34 JAHRE,1383.0,1896.0,495.0,711.0,4485.0,1482.0
202204,35-39 JAHRE,1403.0,2124.0,697.0,1041.0,5265.0,1707.0
202204,40-44 JAHRE,1598.0,2612.0,909.0,1256.0,6375.0,2026.0
202204,45-49 JAHRE,1911.0,2940.0,1084.0,1424.0,7359.0,2337.0
202204,50-54 JAHRE,3015.0,4031.0,1710.0,1875.0,10631.0,3526.0
202204,55-59 JAHRE,3337.0,4482.0,1941.0,1978.0,11738.0,3732.0
202204,60-64 JAHRE,2808.0,3767.0,1636.0,1394.0,9605.0,2890.0
202204,65-69 JAHRE,1965.0,2441.0,987.0,891.0,6284.0,1774.0
202204,70-74 JAHRE,1457.0,1635.0,481.0,481.0,4054.0,1099.0
202204,75-79 JAHRE,933.0,850.0,200.0,243.0,2226.0,527.0
202204,80 UND MEHR JAHRE,719.0,710.0,124.0,154.0,1707.0,396.0
202204,JURISTISCHE PERSONEN,26330.0,55793.0,13570.0,10279.0,105972.0,
202201,BIS 17 JAHRE,19.0,34.0,4.0,3.0,60.0,23.0
202201,18-20 JAHRE,170.0,133.0,18.0,16.0,337.0,127.0
202201,21-24 JAHRE,595.0,571.0,86.0,104.0,1356.0,558.0
202201,25-29 JAHRE,1042.0,1340.0,217.0,339.0,2938.0,1173.0
202201,30-34 JAHRE,1430.0,2061.0,433.0,654.0,4578.0,1555.0
202201,35-39 JAHRE,1504.0,2383.0,624.0,977.0,5488.0,1839.0
202201,40-44 JAHRE,1713.0,2811.0,758.0,1144.0,6426.0,2139.0
202201,45-49 JAHRE,1904.0,2992.0,882.0,1258.0,7036.0,2383.0
202201,50-54 JAHRE,2959.0,4533.0,1326.0,1925.0,10743.0,3544.0
202201,55-59 JAHRE,3300.0,4716.0,1465.0,1768.0,11249.0,3461.0
202201,60-64 JAHRE,2655.0,3907.0,1156.0,1226.0,8944.0,2690.0
202201,65-69 JAHRE,2038.0,2740.0,698.0,831.0,6307.0,1848.0
202201,70-74 JAHRE,1487.0,1846.0,409.0,498.0,4240.0,1152.0
202201,75-79 JAHRE,936.0,959.0,177.0,253.0,2325.0,535.0
202201,80 UND MEHR JAHRE,790.0,732.0,83.0,212.0,1817.0,412.0
202201,JURISTISCHE PERSONEN,25470.0,63466.0,11505.0,9706.0,110147.0,
202206,BIS 17 JAHRE,14.0,38.0,2.0,6.0,60.0,31.0
202206,18-20 JAHRE,145.0,125.0,10.0,37.0,317.0,128.0
202206,21-24 JAHRE,570.0,653.0,92.0,180.0,1495.0,577.0
202206,25-29 JAHRE,1294.0,1405.0,268.0,587.0,3554.0,1375.0
