DATE,MARKE,INSGESAMT,PRIVATE HALTERINNEN UND HALTER,GEWERBLICHE HALTERINNEN UND HALTER,KFZ-HANDEL,KFZ-HERSTELLUNG,KFZ-VERMIETUNG UND CARSHARING,ERBRINGUNG SONSTIGER DIENSTLEISTUNGEN,SONSTIGE GEWERBLICHE HALTERINNEN UND HALTER,UNBEKANNT
202203,ALFA ROMEO,213.0,60.0,152.0,88.0,,5.0,17.0,42.0,1.0
202203,AUDI,21752.0,4576.0,17155.0,2028.0,3700.0,2938.0,2829.0,5660.0,21.0
202203,BMW,19804.0,6019.0,13775.0,1436.0,2560.0,1467.0,2950.0,5362.0,10.0
202203,CITROEN,3832.0,2198.0,1631.0,534.0,24.0,382.0,301.0,390.0,3.0
202203,DACIA,4530.0,3665.0,865.0,346.0,6.0,1.0,140.0,372.0,
202203,DS,167.0,31.0,136.0,44.0,6.0,16.0,37.0,33.0,
202203,FIAT,8055.0,3856.0,4199.0,2443.0,42.0,412.0,319.0,983.0,
202203,FORD,12942.0,4759.0,8178.0,2399.0,270.0,775.0,1993.0,2741.0,5.0
202203,HONDA,852.0,640.0,211.0,162.0,,1.0,28.0,20.0,1.0
202203,HYUNDAI,9529.0,5029.0,4500.0,2119.0,6.0,299.0,660.0,1416.0,
202203,JAGUAR,353.0,127.0,226.0,97.0,,20.0,42.0,67.0,
202203,JEEP,1392.0,235.0,1157.0,639.0,,200.0,67.0,251.0,
202203,KIA,6838.0,3126.0,3710.0,2030.0,2.0,421.0,576.0,681.0,2.0
202203,LAND ROVER,940.0,230.0,709.0,237.0,1.0,111.0,158.0,202.0,1.0
202203,LEXUS,358.0,101.0,257.0,96.0,2.0,4.0,23.0,132.0,
202203,LYNK & CO,94.0,3.0,91.0,1.0,,88.0,1.0,1.0,
202203,MAZDA,5084.0,2764.0,2320.0,1634.0,11.0,65.0,254.0,356.0,
202203,MERCEDES,20360.0,6129.0,14206.0,3514.0,985.0,1608.0,2569.0,5530.0,25.0
202203,MG ROEWE,542.0,172.0,370.0,53.0,,275.0,15.0,27.0,
202203,MINI,3815.0,2119.0,1695.0,175.0,459.0,126.0,359.0,576.0,1.0
202203,MITSUBISHI,3315.0,1923.0,1392.0,871.0,7.0,164.0,119.0,231.0,
202203,NISSAN,2864.0,1794.0,1070.0,434.0,,394.0,89.0,153.0,
202203,OPEL,11808.0,2526.0,9281.0,2931.0,58.0,1114.0,1411.0,3767.0,1.0
202203,PEUGEOT,3747.0,1904.0,1841.0,529.0,45.0,223.0,413.0,631.0,2.0
202203,POLESTAR,571.0,156.0,415.0,14.0,,186.0,85.0,130.0,
202203,PORSCHE,2948.0,1082.0,1866.0,484.0,626.0,26.0,346.0,384.0,
202203,RENAULT,8074.0,3479.0,4592.0,1714.0,56.0,428.0,909.0,1485.0,3.0
202203,SEAT,11188.0,4641.0,6541.0,1760.0,47.0,715.0,1410.0,2609.0,6.0
202203,SKODA,12249.0,4583.0,7660.0,1298.0,98.0,1334.0,1823.0,3107.0,6.0
202203,SMART,1794.0,802.0,992.0,124.0,19.0,9.0,295.0,545.0,
202203,SUBARU,585.0,219.0,366.0,227.0,1.0,31.0,94.0,13.0,
202203,SUZUKI,1543.0,362.0,1181.0,1063.0,11.0,30.0,52.0,25.0,
202203,TESLA,8045.0,5228.0,2810.0,219.0,38.0,449.0,866.0,1238.0,7.0
202203,TOYOTA,7028.0,3115.0,3913.0,1885.0,24.0,409.0,321.0,1274.0,
202203,VOLVO,3086.0,910.0,2175.0,621.0,7.0,265.0,541.0,741.0,1.0
202203,VW,38543.0,11407.0,27101.0,3813.0,6136.0,3385.0,4497.0,9270.0,35.0
