DATE,LAND,STATISTISCHE KENNZIFFER UND ZULASSUNGSBEZIRK,PERSONENKRAFTWAGEN,HUBRAUM BIS 1.399 CM³,1.400 BIS 1.999 CM³,2.000 UND MEHR CM³,UNBE- KANNT,UND ZWAR MIT OFFENEM AUFBAU,UND ZWAR MIT ALLRAD- ANTRIEB,UND ZWAR WOHN- MOBILE,"UND ZWAR KRANKEN- WAGEN, NOTARZT- EINSATZFZ.",UND ZWAR GEWERBLICHE HALTERINNEN UND HALTER,UND ZWAR HALTERINNEN,PKW-DICHTE JE 1.000 EINWOHNER
2020,BADEN-WURTTEMBERG,"08111 STUTTGART,STADT",307367.0,94626.0,149289.0,60533.0,2919.0,19446.0,49031.0,3038.0,108.0,81664.0,83477.0,484
2020,BADEN-WURTTEMBERG,08115 BOEBLINGEN,256970.0,82973.0,123051.0,48947.0,1999.0,15303.0,37243.0,3225.0,73.0,40077.0,79184.0,656
2020,BADEN-WURTTEMBERG,08116 ESSLINGEN,333419.0,117674.0,159991.0,54375.0,1379.0,19658.0,40806.0,4311.0,117.0,40764.0,111548.0,625
2020,BADEN-WURTTEMBERG,08117 GOEPPINGEN,166215.0,60377.0,78841.0,26496.0,501.0,8750.0,21736.0,2212.0,44.0,16755.0,56548.0,646
2020,BADEN-WURTTEMBERG,08118 LUDWIGSBURG,333240.0,116328.0,161775.0,53745.0,1392.0,19111.0,39202.0,3714.0,152.0,30190.0,114141.0,613
2020,BADEN-WURTTEMBERG,08119 REMS-MURR-KREIS,265407.0,93155.0,127046.0,44184.0,1022.0,15774.0,33071.0,3240.0,80.0,27595.0,89719.0,623
2020,BADEN-WURTTEMBERG,"08121 HEILBRONN,STADT",67760.0,22810.0,33692.0,11031.0,227.0,3235.0,8111.0,482.0,99.0,9648.0,21793.0,538
2020,BADEN-WURTTEMBERG,08125 HEILBRONN,244186.0,76613.0,127057.0,39671.0,845.0,12389.0,38821.0,2660.0,18.0,38726.0,77049.0,712
2020,BADEN-WURTTEMBERG,08126 HOHENLOHEKREIS,83570.0,22445.0,47454.0,13384.0,287.0,3640.0,10244.0,800.0,21.0,14064.0,25251.0,746
2020,BADEN-WURTTEMBERG,08127 SCHWAEBISCH-HALL,129345.0,39225.0,68263.0,21431.0,426.0,6392.0,16542.0,1602.0,36.0,11273.0,42187.0,660
2020,BADEN-WURTTEMBERG,08128 MAIN-TAUBER-KREIS,89310.0,27474.0,48704.0,12940.0,192.0,3950.0,10317.0,921.0,30.0,7777.0,28944.0,675
2020,BADEN-WURTTEMBERG,08135 HEIDENHEIM,84103.0,28756.0,41717.0,13422.0,208.0,3842.0,11146.0,1151.0,23.0,7278.0,28072.0,635
2020,BADEN-WURTTEMBERG,08136 OSTALBKREIS,205805.0,70252.0,102168.0,32787.0,598.0,9935.0,30251.0,2854.0,77.0,21745.0,67029.0,655
2020,BADEN-WURTTEMBERG,"08211 BADEN-BADEN,STADT",35092.0,11018.0,17050.0,6879.0,145.0,2452.0,5473.0,348.0,9.0,6006.0,11820.0,637
2020,BADEN-WURTTEMBERG,"08212 KARLSRUHE,STADT",141805.0,47562.0,70656.0,22822.0,765.0,7368.0,15267.0,1998.0,48.0,25895.0,45611.0,453
2020,BADEN-WURTTEMBERG,08215 KARLSRUHE,280068.0,97374.0,138045.0,43693.0,956.0,15454.0,31273.0,3336.0,88.0,25841.0,98890.0,630
2020,BADEN-WURTTEMBERG,08216 RASTATT,151834.0,52483.0,74504.0,24436.0,411.0,8279.0,18145.0,1899.0,45.0,12995.0,51422.0,657
2020,BADEN-WURTTEMBERG,"08221 HEIDELBERG,STADT",60719.0,19375.0,30272.0,10769.0,303.0,4165.0,7505.0,823.0,55.0,10795.0,20979.0,379
2020,BADEN-WURTTEMBERG,"08222 MANNHEIM,STADT",152834.0,50111.0,77155.0,25106.0,462.0,7878.0,16175.0,1299.0,115.0,28699.0,47895.0,494
2020,BADEN-WURTTEMBERG,08225 NECKAR-ODENWALD-KREIS,94254.0,32702.0,48222.0,13133.0,197.0,4324.0,12578.0,1026.0,38.0,7941.0,31350.0,657
2020,BADEN-WURTTEMBERG,08226 RHEIN-NECKAR-KREIS,352784.0,120754.0,176824.0,53920.0,1286.0,21304.0,39960.0,3954.0,40.0,47254.0,124605.0,644
2020,BADEN-WURTTEMBERG,"08231 PFORZHEIM,STADT",62092.0,21382.0,30141.0,10373.0,196.0,3159.0,7507.0,517.0,51.0,8335.0,19570.0,495
2020,BADEN-WURTTEMBERG,08235 CALW,105241.0,36300.0,51744.0,16724.0,473.0,5180.0,13846.0,1425.0,40.0,10725.0,34158.0,664
2020,BADEN-WURTTEMBERG,08236 ENZKREIS,132323.0,47058.0,63257.0,21552.0,456.0,7815.0,16311.0,1820.0,1.0,11921.0,46615.0,665
