DATE,MARKE,MODELL,MODELLREIHE,INSGESAMT,MIT DIESELANTRIEB,MIT HYBRIDANTRIEB,MIT ELEKTROANTRIEB,MIT ALLRADANTRIEB,CABRIOLETS
202504,ALFA ROMEO,GIULIA,ALFA ROMEO GIULIA,78.0,6.0,,,47.0,
202504,ALFA ROMEO,JUNIOR,ALFA ROMEO JUNIOR,360.0,,343.0,17.0,,
202504,ALFA ROMEO,STELVIO,ALFA ROMEO STELVIO,133.0,51.0,,,133.0,
202504,ALFA ROMEO,TONALE,ALFA ROMEO TONALE,89.0,7.0,82.0,,11.0,
202504,ALPINE,A110,ALPINE A110,28.0,,,,,
202504,ALPINE,A290,ALPINE A290,62.0,,,62.0,,
202504,ALPINE,SONSTIGE,ALPINE SONSTIGE,8.0,,,,,
202504,ASTON MARTIN,DBX,ASTON MARTIN DBX,4.0,,,,4.0,
202504,AUDI,A1,AUDI A1,861.0,,,,,
202504,AUDI,A3,AUDI A3,2444.0,281.0,1330.0,,630.0,
202504,AUDI,A4,AUDI A4,209.0,,185.0,,166.0,
202504,AUDI,A5,AUDI A5,1613.0,1.0,903.0,,758.0,19.0
202504,AUDI,A6,AUDI A6,3802.0,3.0,2373.0,1420.0,2501.0,
202504,AUDI,A7,AUDI A7,137.0,,137.0,,133.0,
202504,AUDI,A8,AUDI A8,96.0,,96.0,,96.0,
202504,AUDI,E-TRON GT,AUDI E-TRON GT,120.0,,,120.0,120.0,
202504,AUDI,Q2,AUDI Q2,872.0,100.0,,,120.0,
202504,AUDI,Q3,AUDI Q3,1372.0,445.0,,,464.0,
202504,AUDI,Q4,AUDI Q4,729.0,,,729.0,294.0,
202504,AUDI,Q5,AUDI Q5,899.0,2.0,889.0,,861.0,
202504,AUDI,Q6,AUDI Q6,1082.0,,,1082.0,593.0,
202504,AUDI,Q7,AUDI Q7,506.0,,434.0,,506.0,
202504,AUDI,Q8,AUDI Q8,704.0,,567.0,39.0,704.0,
202504,AUDI,R8,AUDI R8,8.0,,,,5.0,3.0
202504,AUDI,TT,AUDI TT,3.0,,,,2.0,2.0
202504,AUDI,SONSTIGE,AUDI SONSTIGE,52.0,16.0,10.0,,50.0,
202504,BENTLEY,BENTAYGA,BENTLEY BENTAYGA,11.0,,2.0,,11.0,
202504,BENTLEY,CONTINENTAL,BENTLEY CONTINENTAL,31.0,,29.0,,31.0,13.0
202504,BENTLEY,SONSTIGE,BENTLEY SONSTIGE,,,,,,
202504,BMW,1ER,BMW 1ER,2130.0,199.0,1558.0,,299.0,
202504,BMW,2ER,BMW 2ER,1434.0,90.0,701.0,,278.0,
202504,BMW,3ER,BMW 3ER,3093.0,,1883.0,,1565.0,
202504,BMW,4ER,BMW 4ER,2341.0,,682.0,1042.0,1259.0,522.0
202504,BMW,5ER,BMW 5ER,3274.0,,2504.0,770.0,2042.0,
202504,BMW,7ER,BMW 7ER,140.0,,86.0,54.0,115.0,
202504,BMW,8ER,BMW 8ER,84.0,,20.0,,77.0,34.0
202504,BMW,I8,BMW I8,,,,,,
202504,BMW,IX,BMW IX,359.0,,,359.0,359.0,
202504,BMW,X1,BMW X1,4464.0,257.0,2251.0,1497.0,2249.0,
202504,BMW,X2,BMW X2,722.0,17.0,412.0,193.0,392.0,
202504,BMW,X3,BMW X3,1852.0,1.0,1600.0,236.0,1616.0,
202504,BMW,X4,BMW X4,319.0,,273.0,,319.0,
202504,BMW,X5,BMW X5,1060.0,1.0,1058.0,,1060.0,
202504,BMW,X6,BMW X6,269.0,,266.0,,268.0,
202504,BMW,X7,BMW X7,297.0,,290.0,,297.0,
202504,BMW,XM,BMW XM,73.0,,73.0,,73.0,
202504,BMW,Z4,BMW Z4,522.0,,,,,522.0
202504,BMW,SONSTIGE,BMW SONSTIGE,107.0,6.0,22.0,,104.0,
202504,BYD,ATTO 2,BYD ATTO 2,262.0,,,262.0,,
202504,BYD,ATTO 3,BYD ATTO 3,64.0,,,64.0,,
202504,BYD,DOLPHIN,BYD DOLPHIN,104.0,,,104.0,,
202504,BYD,SEAL,BYD SEAL,144.0,,,144.0,41.0,
202504,BYD,SEAL U,BYD SEAL U,785.0,,517.0,268.0,133.0,
202504,BYD,SEALION 7,BYD SEALION 7,172.0,,,172.0,111.0,
202504,BYD,TANG,BYD TANG,35.0,,,35.0,35.0,
202504,BYD,SONSTIGE,BYD SONSTIGE,,,,,,
202504,CADILLAC,ESCALADE,CADILLAC ESCALADE,9.0,,,,9.0,
202504,CADILLAC,XT4,CADILLAC XT4,,,,,,
202504,CHERY,SONSTIGE,CHERY SONSTIGE,4.0,,,4.0,4.0,
202504,CITROEN,BERLINGO,CITROEN BERLINGO,192.0,155.0,,11.0,,
202504,CITROEN,C3,CITROEN C3,1813.0,,14.0,394.0,,
202504,CITROEN,C4,CITROEN C4,576.0,5.0,445.0,33.0,,
202504,CITROEN,C5,CITROEN C5,397.0,124.0,270.0,,,
202504,CITROEN,JUMPER,CITROEN JUMPER,1142.0,1131.0,,,5.0,
202504,CITROEN,JUMPY,CITROEN JUMPY,480.0,468.0,,11.0,1.0,
202504,CITROEN,SAXO,CITROEN SAXO,1.0,,,,,
